Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-14509.43	-14923.75	414.3218	81.23746	7.541668
10	-14429.85	-14856.8	426.9522	83.28188	7.384699
20	-14380.59	-14796.1	415.5098	74.99109	7.510262
30	-14354.58	-14771.25	416.6676	79.65026	7.513145
40	-14300.78	-14726.77	425.994	80.3584	7.397297
50	-14264.21	-14686.58	422.37	81.27639	7.442585
60	-14220.1	-14672.65	452.5481	81.27639	7.071283
70	-14234.21	-14658.95	424.7311	87.10212	7.396272
80	-14174.87	-14638.54	463.6691	87.10212	6.949234
90	-14176.24	-14619.1	442.8547	81.862	7.191966
100	-14176.66	-14618.47	441.8123	84.98472	7.205292
110	-14214.26	-14638.65	424.3844	87.93067	7.395284
120	-14192.19	-14631.13	438.9438	88.75241	7.225791
130	-14177.64	-14610.66	433.013	83.81689	7.311266
140	-14168.32	-14617.57	449.246	86.95792	7.115158
150	-14172.11	-14625.39	453.2785	83.12243	7.06826
160	-14163.75	-14625.1	461.3437	87.71298	6.975275
170	-14166.24	-14612.75	446.5048	83.07553	7.149695
180	-14208.38	-14638.82	430.4428	83.07553	7.343036
190	-14193.02	-14623.43	430.4133	87.29565	7.330077
200	-14204.28	-14623.18	418.8945	77.36462	7.479278
210	-14134.49	-14583.63	449.1396	83.35982	7.118389
220	-14138.35	-14601.78	463.4217	84.81382	6.950737
230	-14182.04	-14608.5	426.4575	82.34851	7.391955
240	-14167.99	-14614.74	446.7556	81.91622	7.144456
250	-14185.28	-14638.74	453.4651	81.56638	7.061218
260	-14148.72	-14598.25	449.528	84.04946	7.114398
270	-14128.62	-14567.08	438.4554	83.93899	7.246238
280	-14141.38	-14597.52	456.1416	79.96402	7.019667
290	-14158.8	-14629.58	470.779	89.4196	6.866209
300	-14097.13	-14564.76	467.6276	80.54176	6.880598
310	-14115.23	-14565.29	450.0562	76.33563	7.065998
320	-14127.9	-14565.57	437.6628	81.74018	7.255221
330	-14141.12	-14574.05	432.9239	81.15152	7.312566
340	-14144.12	-14573.66	429.546	81.15152	7.35419
350	-14103.93	-14564.84	460.9074	91.93924	6.967015
360	-14128.7	-14582.29	453.5936	91.01002	7.051463
370	-14113.53	-14566.22	452.6958	83.83059	7.076453
380	-14137.24	-14596.55	459.3097	89.1119	6.995371
390	-14125.77	-14576.44	450.6708	91.17562	7.082692
400	-14147.66	-14576.27	428.6052	81.11564	7.365756
410	-14114.4	-14570.45	456.0502	85.6279	7.037897
420	-14124.64	-14577.2	452.555	80.53295	7.067693
430	-14118.39	-14597.09	478.6983	93.05902	6.770122
440	-14171.28	-14624.13	452.8535	84.35566	7.075109
450	-14167.56	-14589.81	422.2532	80.30357	7.443806
460	-14073.49	-14576.11	502.6206	96.61983	6.506221
470	-14132.51	-14576.83	444.3225	81.1711	7.172167
480	-14127.38	-14568.28	440.9016	81.55439	7.215221
490	-14108.83	-14570.73	461.8923	82.76782	6.963354
500	-14149.3	-14595.07	445.7692	80.14463	7.150243
510	-14147.99	-14595.36	447.3707	87.5191	7.135176
520	-14128.71	-14562.32	433.6116	89.12693	7.28366
530	-14128.63	-14587.39	458.7584	93.0376	6.984516
540	-14118.48	-14588.74	470.2598	83.74676	6.866614
550	-14135.84	-14561.81	425.9612	83.35382	7.396454
560	-14106.35	-14578.28	471.9257	91.39316	6.848932
570	-14114.11	-14573.95	459.8372	82.43473	6.986949
580	-14086.22	-14556.03	469.812	86.80029	6.878567
590	-14088.78	-14559.73	470.958	89.89274	6.863365
600	-14082.12	-14546.71	464.5873	84.46426	6.936263
610	-14131.43	-14578.2	446.7733	85.84046	7.145924
620	-14166.53	-14603.58	437.0565	83.12073	7.263418
630	-14108.56	-14570.42	461.8624	90.14832	6.963731
640	-14097.18	-14567.96	470.7788	90.37281	6.864309
650	-14121.48	-14555.25	433.7724	78.19666	7.291986
660	-14113.14	-14563.57	450.4267	85.10528	7.103893
670	-14118.71	-14574.19	455.4857	82.3479	7.039448
680	-14116.89	-14568.74	451.8465	82.91309	7.085056
690	-14092.26	-14559.28	467.0224	84.37454	6.907194
700	-14092.87	-14544.2	451.3294	91.2865	7.074871
710	-14144.32	-14587.89	443.5697	78.03801	7.165563
720	-14114.61	-14576.99	462.3714	89.81708	6.959113
730	-14129.13	-14571.15	442.0138	84.20343	7.203716
740	-14124.11	-14586.41	462.2908	83.87251	6.962106
750	-14089.69	-14556.92	467.228	88.09549	6.907901
760	-14146.89	-14571.71	424.8225	82.2115	7.411957
770	-14140.22	-14589.2	448.9793	91.14508	7.101414
780	-14118.66	-14586.81	468.1534	91.6754	6.889198
790	-14091.3	-14572.72	481.4179	87.60838	6.746275
800	-14130.86	-14585.13	454.2682	88.05398	7.055119
810	-14125.33	-14568.67	443.3338	83.59002	7.188112
820	-14136.64	-14587.67	451.0229	84.66866	7.096913
830	-14149.73	-14574.5	424.7668	80.02334	7.412123
840	-14092.41	-14558.48	466.0704	85.4593	6.920649
850	-14133.64	-14591.49	457.8433	87.86839	7.014891
860	-14145.86	-14587.29	441.4329	81.65229	7.208918
870	-14126.12	-14570.88	444.762	82.20724	7.16941
880	-14131.06	-14579.1	448.0374	81.09534	7.126117
890	-14185.04	-14595.46	410.422	80.80533	7.590473
900	-14138.9	-14580.45	441.5508	81.35585	7.206792
910	-14144.15	-14588.04	443.8926	84.99081	7.180807
920	-14138.55	-14572.74	434.1881	82.49769	7.298099
930	-14114.7	-14570.12	455.4198	86.63647	7.044577
940	-14145.26	-14599.03	453.7695	89.83323	7.054818
950	-14160.14	-14596.28	436.1449	83.56037	7.274138
960	-14114.71	-14573.62	458.9139	81.17657	6.992435
970	-14124.53	-14577.78	453.2567	96.65685	7.016818
980	-14094.19	-14549.18	454.9873	80.47994	7.037193
990	-14122.8	-14582.47	459.6771	81.65866	6.985511
1000	-14100.38	-14561.51	461.1238	91.97224	6.964507
1010	-14134.59	-14584.54	449.9469	87.45484	7.10591
1020	-14132.73	-14595.66	462.9336	88.11029	6.956626
1030	-14159.99	-14617.15	457.1593	87.36647	7.023583
1040	-14135.23	-14573.27	438.0351	79.78754	7.245429
1050	-14092.97	-14552.2	459.2303	90.4175	6.991925
1060	-14127.17	-14562.82	435.6493	88.13552	7.26616
1070	-14117.89	-14580.55	462.6672	82.95677	6.954713
1080	-14152.28	-14586.43	434.153	78.66515	7.289532
1090	-14170.29	-14616.11	445.8229	85.39561	7.157658
1100	-14115.12	-14582.82	467.6962	83.60363	6.896711
1110	-14099.98	-14568.54	468.5624	86.13985	6.892462
1120	-14161.77	-14586.79	425.0266	79.54503	7.407977
1130	-14114.14	-14584.57	470.4315	89.60129	6.869781
1140	-14096.14	-14559.31	463.1688	89.65824	6.950682
1150	-14138.57	-14567.42	428.8578	81.7235	7.362939
1160	-14177.79	-14593.22	415.4297	74.15699	7.504703
1170	-14108.09	-14564.48	456.3872	84.2428	7.033072
1180	-14157.32	-14569.99	412.6628	81.16027	7.562221
1190	-14162.99	-14567.47	404.4821	75.24981	7.658632
1200	-14144.98	-14602.81	457.8324	78.0645	6.98305
1210	-14083.8	-14547.25	463.4486	83.13774	6.945964
1220	-14136.11	-14593.2	457.0895	84.28892	7.024801
1230	-14112.9	-14563.31	450.4073	78.84224	7.084201
1240	-14160.32	-14607.79	447.4653	83.52703	7.138633
1250	-14138.95	-14566.55	427.6059	83.03258	7.377249
1260	-14127.02	-14563.63	436.6123	83.56665	7.26854
1270	-14167.4	-14602.59	435.1995	82.38458	7.285809
1280	-14123.47	-14572.72	449.2511	80.23836	7.10728
1290	-14088.91	-14558	469.0935	90.38976	6.882913
1300	-14119.44	-14560.32	440.8753	85.63963	7.21509
1310	-14143.98	-14578.54	434.5544	83.10668	7.293528
1320	-14136.81	-14570.76	433.941	84.52962	7.298961
1330	-14106.56	-14575.41	468.8535	85.79632	6.888636
1340	-14108.95	-14568.56	459.6113	81.13619	6.983622
1350	-14118.02	-14560.77	442.7521	81.39328	7.192124
1360	-14149.88	-14568.13	418.246	84.99725	7.482534
1370	-14105.97	-14549.27	443.3002	91.60947	7.160734
1380	-14092.05	-14543.12	451.0686	85.5885	7.096104
1390	-14089.73	-14539.09	449.3661	85.15056	7.116331
1400	-14106.9	-14553.6	446.702	86.17236	7.146178
1410	-14100.01	-14543.11	443.0984	82.3311	7.189849
1420	-14169.75	-14588.86	419.1088	82.8204	7.480134
1430	-14186.92	-14603.88	416.9633	83.64904	7.503374
1440	-14099.6	-14555.15	455.5533	84.3614	7.043111
1450	-14088.08	-14536.52	448.4357	82.60898	7.125629
1460	-14108.23	-14562.21	453.9765	85.28764	7.062189
1470	-14064.31	-14525.07	460.762	84.2815	6.981216
1480	-14123.05	-14557.77	434.7229	85.74936	7.286594
1490	-14091.42	-14528.91	437.4885	83.91618	7.257779
1500	-14135.06	-14553.22	418.1577	76.58059	7.485188
1510	-14118.48	-14534.09	415.6087	77.46946	7.522121
1520	-14081.64	-14521.78	440.148	88.55729	7.213172
1530	-14100.5	-14531.86	431.3624	86.99996	7.32062
1540	-14089.42	-14538.89	449.4688	86.81232	7.112911
1550	-14094.46	-14545.88	451.419	87.88274	7.087965
1560	-14125.21	-14582.06	456.8502	86.0459	7.028471
1570	-14070.8	-14506.83	436.0321	79.78111	7.270511
1580	-14059.92	-14517.96	458.037	88.14208	7.012131
1590	-14069.12	-14535.13	466.0147	88.84188	6.920625
1600	-14108.03	-14563.06	455.0313	88.1612	7.046184
1610	-14113.5	-14570.29	456.7912	86.13182	7.029118
1620	-14114.18	-14549.46	435.2762	80.19715	7.281326
1630	-14101.6	-14533.19	431.5881	82.8571	7.329431
1640	-14094.66	-14550	455.3411	90.09189	7.0363
1650	-14051.52	-14511.2	459.6763	85.75961	6.995593
1660	-14064.13	-14508.53	444.3965	83.72693	7.175438
1670	-14074.71	-14531.5	456.7945	81.24722	7.018895
1680	-14086.39	-14542.24	455.8426	85.86784	7.040261
1690	-14126.9	-14569.46	442.5583	80.77784	7.192682
1700	-14105.22	-14549.37	444.1545	79.02596	7.164622
1710	-14034.26	-14491.67	457.4094	93.3254	6.9973
1720	-14085.35	-14525.31	439.962	80.98236	7.2254
1730	-14089	-14545.61	456.6116	82.36967	7.025853
1740	-14090.52	-14532.61	442.0912	82.31984	7.202066
1750	-14085.02	-14527.1	442.0803	82.72354	7.202681
1760	-14044.56	-14508.4	463.8399	91.00811	6.938886
1770	-14080.11	-14525.87	445.7601	92.17532	7.130213
1780	-14090.71	-14523.02	432.3073	83.59622	7.320016
1790	-14070.47	-14515.51	445.044	87.11707	7.16302
1800	-14076.41	-14528.43	452.0243	83.91136	7.084555
1810	-14034.1	-14512.59	478.4937	89.26976	6.78002
1820	-14065.43	-14513.69	448.2599	82.53773	7.127612
1830	-14051.96	-14519.47	467.5112	84.95144	6.902827
1840	-14062.53	-14517.47	454.945	84.91659	7.050734
1850	-14080.18	-14538.62	458.4441	85.60919	7.009936
1860	-14080.38	-14530.4	450.0155	87.83159	7.104086
1870	-14087.18	-14522.25	435.07	86.10529	7.281393
1880	-14125.57	-14573.55	447.9866	85.28189	7.132426
1890	-14082.87	-14522.69	439.8183	86.5863	7.224818
1900	-14069.44	-14513.89	444.4481	82.70977	7.174039
1910	-14061.16	-14526.75	465.5924	97.58144	6.882414
1920	-14086.36	-14533.65	447.2893	82.65509	7.139591
1930	-14087.03	-14517.01	429.9811	85.86529	7.341449
1940	-14101.85	-14527.97	426.1183	81.20124	7.396446
1950	-14052.69	-14501.24	448.5458	88.19073	7.119647
1960	-14038.13	-14495.95	457.8197	79.40301	6.994658
1970	-14071.53	-14541.72	470.1958	85.985	6.873284
1980	-14122.1	-14543.38	421.2764	82.15022	7.455182
1990	-14055.86	-14500.47	444.6067	89.28474	7.159551
2000	-14069.53	-14528.75	459.2254	91.016	6.989556
2010	-14076.3	-14528.2	451.8959	90.00179	7.074942
2020	-14058.1	-14531.72	473.6279	83.72019	6.826281
2030	-14111.61	-14538.26	426.6514	82.84187	7.389033
2040	-14105.48	-14531.65	426.1709	83.14511	7.394336
2050	-14083.32	-14538.98	455.6546	85.02669	7.042433
2060	-14103.68	-14534.29	430.611	81.79726	7.341513
2070	-14076.89	-14514.1	437.2044	81.3944	7.260286
2080	-14061.59	-14515.13	453.5432	85.30908	7.067267
2090	-14070.16	-14526.22	456.0554	82.65666	7.03354
2100	-14096.31	-14527.42	431.1058	78.21754	7.326191
2110	-14072.79	-14514.28	441.4984	84.27147	7.209787
2120	-14095.84	-14535.62	439.7822	78.92712	7.219426
2130	-14079.44	-14511.68	432.2378	84.48872	7.319204
2140	-14057.03	-14497.88	440.8525	88.07433	7.207389
2150	-14031.28	-14493.7	462.4216	86.44134	6.963784
2160	-14107.79	-14530.8	423.0069	78.88269	7.431847
2170	-14080.01	-14539.16	459.1539	83.13539	6.997614
2180	-14080.3	-14537.73	457.4352	80.01125	7.003806
2190	-14082.29	-14542.4	460.108	87.79699	6.989234
2200	-14117.79	-14577.69	459.9034	84.74984	6.992137
2210	-14072.28	-14513.3	441.0181	78.90202	7.203627
2220	-14092.63	-14519.03	426.4045	88.9731	7.365585
2230	-14031.05	-14487.83	456.7825	83.58952	7.027222
2240	-14062.04	-14509	446.9664	89.31118	7.133003
2250	-14056.5	-14509.99	453.4951	82.97519	7.065321
2260	-14063.78	-14504.25	440.4698	86.30674	7.218126
2270	-14057.39	-14511.9	454.5089	92.79027	7.031705
2280	-14019.13	-14501.75	482.6248	89.63931	6.733686
2290	-14078.79	-14533.51	454.7205	89.08147	7.046972
2300	-14078.78	-14526.1	447.3156	78.77712	7.122976
2310	-14079.1	-14540.62	461.5166	83.98459	6.971609
2320	-14077.41	-14523.95	446.5312	84.82668	7.149877
2330	-14096.82	-14545.11	448.2889	85.20473	7.128942
2340	-14079.01	-14529.49	450.4803	86.93922	7.101002
2350	-14072.6	-14511.88	439.277	82.73722	7.236576
2360	-14091.23	-14516.83	425.6058	80.10493	7.401769
2370	-14084.63	-14547.72	463.0954	87.44667	6.95557
2380	-14101.96	-14530.98	429.0261	82.89229	7.360313
2390	-14114.51	-14534.51	419.9999	77.80538	7.466766
2400	-14074.22	-14512.22	438.0067	81.30247	7.25025
2410	-14088.58	-14526.7	438.1205	79.06085	7.241149
2420	-14104.72	-14534.44	429.7215	80.92065	7.351781
2430	-14125.38	-14559.68	434.3047	90.17039	7.269276
2440	-14075.92	-14545.51	469.5957	85.70374	6.879836
2450	-14056.67	-14510.95	454.2728	91.26642	7.04273
2460	-14093.79	-14527.51	433.7243	81.57243	7.303247
2470	-14107.15	-14539.99	432.8391	75.92341	7.288071
2480	-14062.66	-14532.86	470.2059	82.19336	6.859821
2490	-14118.5	-14516.12	397.6202	74.88283	7.748368
2500	-14084.12	-14513.83	429.7011	82.63223	7.352399
2510	-14060.92	-14528.25	467.3266	83.27948	6.899897
2520	-14074.87	-14524.87	450.0005	86.5472	7.107293
2530	-14101.57	-14546.88	445.3119	80.17334	7.156081
2540	-14114.76	-14565.37	450.6063	86.8291	7.099775
2550	-14030.84	-14483.72	452.8787	85.35631	7.075045
2560	-14062.13	-14513.47	451.3407	82.83913	7.090998
2570	-14029.74	-14490.24	460.497	90.30066	6.978339
2580	-14069.73	-14531.31	461.5799	86.23307	6.973531
2590	-14063.12	-14513.62	450.5012	89.65503	7.091984
2600	-14026.56	-14493.82	467.2607	86.07381	6.907511
2610	-14078.36	-14514.01	435.6551	82.17207	7.280168
2620	-14045.46	-14503.75	458.2888	81.32723	7.000909
2630	-14095.68	-14522.48	426.8084	76.89146	7.374224
2640	-14065.06	-14489.26	424.2029	82.2287	7.419475
2650	-14097.66	-14545.13	447.4691	82.52504	7.137168
2660	-14025.29	-14480.24	454.9501	86.67623	7.04995
2670	-14055.14	-14520.83	465.6883	87.94579	6.925536
2680	-14075.1	-14531.37	456.2704	84.76717	7.035018
2690	-14087.73	-14539.32	451.5956	86.72999	7.088558
2700	-14103.08	-14534.9	431.8271	78.35915	7.317673
2710	-14066.87	-14500.92	434.0414	88.65897	7.281559
2720	-14067.27	-14512.96	445.6876	83.77828	7.160036
2730	-14090.56	-14537.02	446.4576	88.09949	7.143657
2740	-14074.53	-14552.06	477.528	86.09382	6.788272
2750	-14055.27	-14524.75	469.4809	88.51325	6.881986
2760	-14032.43	-14501.59	469.1519	82.66056	6.875114
2770	-14046.35	-14524.51	478.1514	86.80757	6.782504
2780	-14075.05	-14515.32	440.2629	81.12227	7.222055
2790	-14097.8	-14517.62	419.815	84.73949	7.465202
2800	-14084.73	-14518.28	433.5477	83.25348	7.305529
2810	-14052.37	-14529.05	476.6785	89.43596	6.800219
2820	-14082.52	-14538.8	456.2851	83.50713	7.032999
2830	-14069.77	-14529.41	459.6379	88.11676	6.994017
2840	-14065.89	-14525.59	459.6976	85.35359	6.995155
2850	-14050.32	-14509.33	459.0049	89.69703	6.996996
2860	-14043.22	-14497.21	453.9961	89.14208	7.054894
2870	-14078.95	-14518.52	439.5689	90.98281	7.205744
2880	-14057.96	-14518.54	460.5717	84.71693	6.984205
2890	-14104.22	-14536.06	431.8356	87.78149	7.311335
2900	-14059.56	-14504.91	445.3455	86.76323	7.160536
2910	-14091.51	-14520.01	428.5024	80.92586	7.366851
2920	-14060.56	-14512.38	451.8163	83.93283	7.087057
2930	-14049.77	-14518.83	469.0565	86.18548	6.886777
2940	-14071.17	-14511.93	440.7533	80.53754	7.214253
2950	-14084.51	-14540.41	455.8977	85.75018	7.039655
2960	-14082.58	-14521.53	438.9519	84.73126	7.239382
2970	-14089.64	-14540.61	450.9732	79.85927	7.083696
2980	-14090.15	-14549.03	458.8865	83.53964	7.001929
2990	-14013.21	-14496.69	483.482	84.11535	6.710775
3000	-14027.03	-14502.64	475.6091	85.09534	6.807965
3010	-14041.24	-14493.22	451.9806	82.53093	7.082515
3020	-14044.99	-14494.43	449.44	81.68913	7.110975
3030	-14035.94	-14487.49	451.5595	82.16328	7.086592
3040	-14116.23	-14558.69	442.4609	79.44993	7.188325
3050	-14082.72	-14531.97	449.2498	83.46721	7.117201
3060	-14084.15	-14521.22	437.0691	88.14443	7.250008
3070	-14048.44	-14500.73	452.292	82.71125	7.079207
3080	-14044.52	-14516.15	471.6309	87.18827	6.857871
3090	-14044.26	-14500.83	456.566	84.26186	7.030975
3100	-14055.79	-14516.47	460.6728	86.21358	6.984051
3110	-14085.16	-14530.35	445.1845	89.02018	7.154298
3120	-14043.65	-14500.98	457.332	86.66072	7.022483
3130	-14085.57	-14525.56	439.9893	86.92182	7.221733
3140	-14086.2	-14561.68	475.4855	81.34509	6.789596
3150	-14093.17	-14545.52	452.3535	85.25589	7.081227
3160	-14068.88	-14510.78	441.8986	80.66073	7.20046
3170	-14075.98	-14510.83	434.8529	82.74459	7.290047
3180	-14096.74	-14533.83	437.0913	84.03228	7.262386
3190	-14078.99	-14509.65	430.6581	84.96953	7.336587
3200	-14047.6	-14510.71	463.1114	85.16542	6.954927
3210	-14063.07	-14490.41	427.3431	73.7945	7.340006
3220	-14060.88	-14513.02	452.1394	85.06047	7.083773
3230	-14058.09	-14506.55	448.4619	81.08326	7.120836
3240	-14038.49	-14508.63	470.1349	92.6411	6.863927
3250	-14091.63	-14539.34	447.7075	84.26945	7.136107
3260	-14081.9	-14526.9	444.9987	88.71096	7.157747
3270	-14074.68	-14508.33	433.6519	83.05215	7.304423
3280	-14059.96	-14524.84	464.8831	83.54526	6.930166
3290	-14063.23	-14518.27	455.0396	86.1206	7.049461
3300	-14087.73	-14522.47	434.7413	84.81036	7.288901
3310	-14074.3	-14515.03	440.7299	86.65554	7.214075
3320	-14049.07	-14503.47	454.4023	81.73047	7.050394
3330	-14037.1	-14483.82	446.7179	86.80849	7.144607
3340	-14081.54	-14519.51	437.9693	77.41565	7.233095
3350	-14049.53	-14504.77	455.237	85.61049	7.047398
3360	-14041.89	-14493.81	451.9141	85.20584	7.086395
3370	-14015.97	-14499.96	483.9856	87.92014	6.717449
3380	-14081.78	-14542.93	461.1421	86.12734	6.978602
3390	-14085.97	-14539.78	453.81	89.25252	7.05659
3400	-14088.32	-14525.19	436.8691	84.23226	7.264775
3410	-14079.13	-14526.81	447.6738	89.12365	7.125897
3420	-14041.56	-14513.67	472.1092	92.59115	6.842809
3430	-14029.96	-14513.02	483.0635	91.46001	6.72695
3440	-14048.86	-14511.22	462.3555	86.02175	6.964481
3450	-14063.46	-14516.71	453.2477	87.89621	7.067122
3460	-14064.49	-14525.19	460.7017	90.01281	6.977064
3470	-14083.25	-14522.71	439.4582	77.02089	7.210775
3480	-14051.55	-14515.66	464.1086	90.42473	6.937949
3490	-14070.28	-14524.37	454.091	80.49996	7.048439
3500	-14077.47	-14526.19	448.726	86.04956	7.122882
3510	-14090.11	-14518.72	428.6042	82.23167	7.365948
3520	-14080.13	-14500.09	419.9646	77.65658	7.466653
3530	-14052.69	-14527.67	474.9792	85.07503	6.815305
3540	-14077.96	-14525.42	447.4588	88.45476	7.131007
3550	-14079.28	-14525.31	446.033	79.5172	7.14374
3560	-14036.78	-14494.57	457.7962	87.78235	7.015592
