Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1090	-14104.57	-14577.53	472.9568	84.25522	6.836428
1100	-14127.76	-14584.2	456.441	83.65243	7.031436
1110	-14144.66	-14613.52	468.8527	85.83594	6.888703
1120	-14125.6	-14600.12	474.523	94.11951	6.810472
1130	-14108.7	-14584.14	475.4316	87.97618	6.814756
1140	-14114.47	-14593.41	478.9418	88.08901	6.77493
1150	-14160.31	-14609.48	449.1703	82.99026	7.117468
1160	-14112.8	-14581.26	468.4643	89.80563	6.891302
1170	-14101.6	-14600.83	499.2321	90.32245	6.549408
1180	-14094.1	-14563.28	469.1772	86.57966	6.885742
1190	-14138.53	-14594.64	456.1138	83.7387	7.035513
1200	-14143.73	-14615.36	471.6254	87.83309	6.858047
1210	-14174.49	-14624.12	449.6317	82.80542	7.111563
1220	-14127.67	-14581.61	453.9377	87.70643	7.059725
1230	-14160.68	-14593.32	432.6405	88.84751	7.296249
1240	-14107.03	-14579.02	471.9938	91.57247	6.847634
1250	-14152.02	-14601.88	449.8549	83.04579	7.109318
1260	-14137.24	-14584.95	447.7117	85.05853	7.135827
1270	-14093.35	-14586.35	493.0043	94.20022	6.613906
1280	-14111.28	-14594.37	483.0949	94.21439	6.719048
1290	-14121.12	-14594.05	472.9265	88.63438	6.842984
1300	-14101.98	-14579.28	477.2967	84.95619	6.787654
1310	-14109.21	-14570.86	461.652	84.16494	6.970409
1320	-14111.12	-14586.99	475.8681	87.41599	6.809483
1330	-14109.29	-14587.38	478.0932	87.25095	6.783832
1340	-14162.16	-14610.21	448.0493	80.55497	7.123739
1350	-14144.67	-14603.95	459.2721	86.11393	7.000316
1360	-14173.87	-14609.67	435.8069	89.16939	7.258784
1370	-14118.06	-14569.79	451.7263	78.39382	7.064005
1380	-14176.61	-14637.7	461.0919	87.29267	6.978647
1390	-14137.67	-14581.69	444.0124	83.13419	7.179744
1400	-14152.76	-14619.57	466.8119	88.10805	6.912611
1410	-14114.2	-14576.32	462.1192	87.90464	6.966179
1420	-14105.16	-14581.82	476.6549	87.29032	6.800359
