Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
102	0	-14147.99	-14595.36	447.3707	87.5191	7.135176
103	1	-14151.8	-14603.05	451.2528	83.11976	7.092625
104	0	-14128.71	-14562.32	433.6116	89.12693	7.28366
105	1	-14134.57	-14619.97	485.4046	89.31344	6.702619
106	0	-14128.63	-14587.39	458.7584	93.0376	6.984516
107	1	-14148.12	-14643.05	494.9323	91.16342	6.597239
108	0	-14118.48	-14588.74	470.2598	83.74676	6.866614
109	1	-14088.47	-14595.5	507.0268	90.97092	6.46429
110	0	-14135.84	-14561.81	425.9612	83.35382	7.396454
111	1	-14150.99	-14615.58	464.5906	89.2816	6.935736
112	0	-14106.35	-14578.28	471.9257	91.39316	6.848932
113	1	-14165.28	-14601.85	436.57	79.87074	7.264094
114	0	-14114.11	-14573.95	459.8372	82.43473	6.986949
115	1	-14182.99	-14623.57	440.5765	81.43542	7.21895
116	0	-14086.22	-14556.03	469.812	86.80029	6.878567
117	1	-14125.29	-14597.62	472.3364	86.57037	6.849243
118	0	-14088.78	-14559.73	470.958	89.89274	6.863365
119	1	-14126.37	-14588.71	462.3379	87.14366	6.964489
120	0	-14082.12	-14546.71	464.5873	84.46426	6.936263
121	1	-14165.11	-14622.26	457.1578	86.44461	7.024675
122	0	-14131.43	-14578.2	446.7733	85.84046	7.145924
123	1	-14122.41	-14574.82	452.4113	82.53648	7.077311
124	0	-14166.53	-14603.58	437.0565	83.12073	7.263418
125	1	-14104.17	-14571.87	467.6967	88.28974	6.902396
126	0	-14108.56	-14570.42	461.8624	90.14832	6.963731
127	1	-14134.17	-14597.95	463.7778	89.48211	6.944349
128	0	-14097.18	-14567.96	470.7788	90.37281	6.864309
129	1	-14158.05	-14611.44	453.3923	81.52467	7.061944
130	0	-14121.48	-14555.25	433.7724	78.19666	7.291986
131	1	-14163.98	-14603.25	439.2736	87.26414	7.228701
132	0	-14113.14	-14563.57	450.4267	85.10528	7.103893
133	1	-14169.04	-14614.96	445.9177	87.49844	7.151844
134	0	-14118.71	-14574.19	455.4857	82.3479	7.039448
135	1	-14150.85	-14608.25	457.3984	81.26807	7.011565
136	0	-14116.89	-14568.74	451.8465	82.91309	7.085056
137	1	-14138.88	-14603.1	464.2231	90.66559	6.935885
138	0	-14092.26	-14559.28	467.0224	84.37454	6.907194
139	1	-14152.17	-14607.05	454.8754	91.51559	7.034867
140	0	-14092.87	-14544.2	451.3294	91.2865	7.074871
141	1	-14162.94	-14599.51	436.5717	84.77285	7.267394
142	0	-14144.32	-14587.89	443.5697	78.03801	7.165563
143	1	-14117.06	-14580.63	463.568	83.233	6.944868
144	0	-14114.61	-14576.99	462.3714	89.81708	6.959113
145	1	-14136.68	-14591.02	454.3426	92.40663	7.035775
146	0	-14129.13	-14571.15	442.0138	84.20343	7.203716
147	1	-14096.55	-14563.77	467.2211	84.12044	6.904106
148	0	-14124.11	-14586.41	462.2908	83.87251	6.962106
149	1	-14136.35	-14599.91	463.5546	87.99282	6.949738
150	0	-14089.69	-14556.92	467.228	88.09549	6.907901
151	1	-14124.59	-14579.53	454.9455	83.13891	7.048244
152	0	-14146.89	-14571.71	424.8225	82.2115	7.411957
153	1	-14149.68	-14594.76	445.0837	84.81639	7.16695
154	0	-14140.22	-14589.2	448.9793	91.14508	7.101414
155	1	-14118.86	-14588.5	469.638	90.58553	6.876378
156	0	-14118.66	-14586.81	468.1534	91.6754	6.889198
157	1	-14146.25	-14595.33	449.0723	83.20331	7.118983
158	0	-14091.3	-14572.72	481.4179	87.60838	6.746275
159	1	-14152.6	-14604.74	452.1424	86.50179	7.082612
160	0	-14130.86	-14585.13	454.2682	88.05398	7.055119
161	1	-14139.65	-14588.39	448.735	84.09967	7.123855
162	0	-14125.33	-14568.67	443.3338	83.59002	7.188112
163	1	-14156.98	-14591.01	434.0291	84.47974	7.298021
164	0	-14136.64	-14587.67	451.0229	84.66866	7.096913
165	1	-14146.03	-14600.23	454.2072	88.10903	7.055669
166	0	-14149.73	-14574.5	424.7668	80.02334	7.412123
167	1	-14106.87	-14590.58	483.7146	92.51043	6.717669
168	0	-14092.41	-14558.48	466.0704	85.4593	6.920649
169	1	-14151.71	-14595.17	443.4637	84.26699	7.186468
170	0	-14133.64	-14591.49	457.8433	87.86839	7.014891
171	1	-14120.54	-14589.76	469.2268	84.64036	6.881834
172	0	-14145.86	-14587.29	441.4329	81.65229	7.208918
173	1	-14111.9	-14588.63	476.7309	86.20953	6.797783
174	0	-14126.12	-14570.88	444.762	82.20724	7.16941
175	1	-14115.66	-14606.1	490.4406	94.39197	6.640559
176	0	-14131.06	-14579.1	448.0374	81.09534	7.126117
177	1	-14174.47	-14636.33	461.8524	97.16046	6.924051
178	0	-14185.04	-14595.46	410.422	80.80533	7.590473
179	1	-14131.12	-14601.93	470.8058	90.07383	6.864684
180	0	-14138.9	-14580.45	441.5508	81.35585	7.206792
181	1	-14128.04	-14599.31	471.2717	86.73004	6.861692
182	0	-14144.15	-14588.04	443.8926	84.99081	7.180807
183	1	-14162.7	-14624.66	461.9648	80.87376	6.953036
184	0	-14138.55	-14572.74	434.1881	82.49769	7.298099
185	1	-14127.5	-14589.91	462.4131	85.89315	6.963755
186	0	-14114.7	-14570.12	455.4198	86.63647	7.044577
187	1	-14133.36	-14584.27	450.9069	84.47324	7.098234
188	0	-14145.26	-14599.03	453.7695	89.83323	7.054818
189	1	-14153.37	-14606.98	453.6077	82.32091	7.06217
190	0	-14160.14	-14596.28	436.1449	83.56037	7.274138
191	1	-14149.99	-14592.98	442.9848	91.85215	7.162549
192	0	-14114.71	-14573.62	458.9139	81.17657	6.992435
193	1	-14128.05	-14593.81	465.7654	86.42926	6.925096
194	0	-14124.53	-14577.78	453.2567	96.65685	7.016818
195	1	-14145.75	-14616.83	471.0854	86.71586	6.863829
196	0	-14094.19	-14549.18	454.9873	80.47994	7.037193
197	1	-14120.44	-14586.58	466.1403	92.85403	6.906053
198	0	-14122.8	-14582.47	459.6771	81.65866	6.985511
199	1	-14109.48	-14569.94	460.4629	83.89388	6.98395
200	0	-14100.38	-14561.51	461.1238	91.97224	6.964507
201	1	-14136.09	-14594.53	458.4406	83.49866	7.007166
202	0	-14134.59	-14584.54	449.9469	87.45484	7.10591
203	1	-14156.78	-14605.12	448.3406	87.60538	7.123843
204	0	-14132.73	-14595.66	462.9336	88.11029	6.956626
205	1	-14109.93	-14577.12	467.1897	88.42433	6.907983
206	0	-14159.99	-14617.15	457.1593	87.36647	7.023583
207	1	-14129.97	-14580.4	450.4316	86.75466	7.101933
