Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-13648.99	-13872.11	223.1226	0.5615899	58.26426	0.0452955	0.290235	0.860382	2.80409	10.14685
10	-13645.14	-13877.29	232.1459	0.4965437	59.45331	0.0327489	0.249654	0.817737	2.89986	9.998487
20	-13631.11	-13886.09	254.9814	0.620757	67.09225	0.0574154	0.323615	0.89155	2.72742	9.612181
30	-13628.14	-13887.81	259.673	0.5466023	61.35611	0.0423172	0.281255	0.851424	2.825	9.551389
40	-13634.52	-13907.21	272.6981	0.4910957	59.68697	0.0317495	0.246063	0.81368	2.90851	9.319826
50	-13545.44	-13846.09	300.6517	0.5638596	70.96205	0.0457504	0.291576	0.861698	2.80098	8.922657
60	-13521.2	-13783.81	262.6156	0.4468122	59.86485	0.0240061	0.215783	0.777347	2.98286	9.49073
70	-13516.38	-13804.25	287.8693	0.4557361	65.41003	0.0255072	0.22204	0.785183	2.96727	9.121432
80	-13530.34	-13823.48	293.14	0.4902866	65.41003	0.0316018	0.245527	0.81307	2.9098	9.040853
90	-13486.95	-13795.03	308.0781	0.4284293	72.27399	0.0210203	0.202655	0.760299	3.01603	8.811203
100	-13459.97	-13779.07	319.0996	0.547667	67.96519	0.0425273	0.2819	0.852077	2.8235	8.660491
110	-13466.57	-13772.57	305.9989	0.5760754	69.88133	0.0482141	0.298709	0.868605	2.78447	8.851283
120	-13462	-13793.81	331.8048	0.4649125	71.49728	0.0270837	0.228394	0.792958	2.95157	8.483696
130	-13451.23	-13814.57	363.3425	0.5331885	72.29188	0.0396918	0.273031	0.842992	2.84429	8.04663
140	-13434.46	-13798.62	364.1582	0.5560969	76.03029	0.0441988	0.286969	0.857154	2.81168	8.040909
150	-13475.44	-13808.85	333.4122	0.536531	68.65618	0.0403423	0.275097	0.845131	2.83943	8.454049
160	-13477.89	-13801.09	323.2007	0.5213472	70.42818	0.0374093	0.265624	0.8352	2.86177	8.605267
170	-13495.99	-13806.16	310.1721	0.5973596	68.92344	0.0525639	0.310801	0.879966	2.75667	8.79257
180	-13467.8	-13805.94	338.1407	0.4990677	69.92593	0.0332151	0.251307	0.819589	2.89589	8.391502
190	-13452.85	-13790.91	338.0601	0.5115625	77.47947	0.0355503	0.259397	0.828503	2.87655	8.374454
200	-13442.82	-13768.66	325.8405	0.5035482	72.65367	0.0340473	0.254226	0.822833	2.88889	8.564271
210	-13460.11	-13799.08	338.9713	0.5606904	71.56577	0.0451156	0.289702	0.859858	2.80532	8.383529
220	-13418.53	-13758.84	340.3112	0.4720819	66.35755	0.0283374	0.2333	0.798841	2.93952	8.332197
