"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-9.77557225569066,-7.26156260569635,-12.1523237514571,0,1,0,0
"Retention Index",-16.417171039524,-13.8889337064992,-18.8758243543661,0,1,0,0
