"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-3.64378706357166,-0.980829314328271,-6.18031703129629,0,1,0,0
"Retention Index",-0.873975295828993,1.68125071292699,-3.42652856130742,0.19560878243513,0.80439121756487,0.391217564870259,0.19560878243513
