Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-6208.036	-6230.201	22.16513	1.626415	27.58354	0.244207	0.60833	1.05706	2.09041	7.519363
10	-6219.06	-6224.676	5.615925	1.632144	24.91404	0.245033	0.60917	1.05732	2.08847	8.115996
20	-6207.869	-6218.203	10.3334	1.288274	28.37415	0.190687	0.54905	1.03512	2.22514	7.939376
30	-6193.27	-6217.613	24.34261	1.306563	29.02193	0.193836	0.552837	1.03671	2.21662	7.445329
40	-6191.958	-6210.762	18.80468	1.564297	30.31986	0.235086	0.59892	1.05398	2.11201	7.616713
50	-6197.84	-6210.566	12.72524	0.9515011	30.31986	0.127178	0.461673	0.991475	2.41967	7.817223
60	-6191.186	-6199.887	8.701485	1.629108	26.56985	0.244596	0.608725	1.05718	2.0895	8.011984
70	-6183.801	-6206.476	22.67489	1.276448	27.10002	0.188634	0.546558	1.03407	2.23074	7.495368
80	-6186.797	-6212.36	25.56328	1.731355	30.03747	0.258953	0.623025	1.06154	2.05648	7.396971
90	-6191.275	-6212.05	20.77563	1.608219	25.70584	0.241566	0.605632	1.05619	2.09661	7.536652
100	-6191.031	-6219.502	28.4708	1.360415	27.40165	0.202932	0.563544	1.04105	2.19247	7.287607
110	-6192.131	-6213.281	21.15016	1.213257	30.40429	0.177447	0.532646	1.02797	2.26194	7.537893
120	-6192.097	-6204.82	12.72254	1.71067	31.88719	0.25611	0.620239	1.06072	2.06293	7.769397
130	-6183.239	-6218.501	35.26198	1.781013	29.71436	0.265655	0.629505	1.0634	2.04144	7.073472
140	-6164.791	-6202.075	37.28317	0.9889814	33.88139	0.13475	0.473415	0.99815	2.39369	6.967532
150	-6179.204	-6218.591	39.38648	1.423887	28.46725	0.213322	0.575377	1.04562	2.16568	6.917379
160	-6181.537	-6204.593	23.05592	1.567637	29.71437	0.235584	0.599441	1.05416	2.11082	7.484252
170	-6190.872	-6190.102	-0.7692724	1.412211	23.27541	0.211437	0.57326	1.04482	2.17048	8.335652
180	-6193.245	-6196.323	3.078207	1.657024	24.3395	0.248592	0.612765	1.05845	2.08019	8.206635
190	-6165.112	-6184.323	19.21022	1.348819	26.65375	0.200995	0.561292	1.04016	2.19756	7.61777
200	-6181.873	-6204.181	22.30725	1.310196	29.00482	0.194458	0.553579	1.03702	2.21495	7.51556
210	-6161.331	-6188.91	27.57875	1.833835	31.17207	0.272599	0.636095	1.06522	2.02609	7.316285
220	-6187.595	-6212.333	24.73809	1.621758	28.1469	0.243534	0.607644	1.05684	2.09198	7.430757
230	-6179.085	-6212.811	33.7265	2.128453	30.77522	0.308141	0.668013	1.07289	1.95095	7.122269
240	-6160.503	-6192.165	31.66138	1.142117	31.41876	0.164407	0.515664	1.02007	2.29986	7.182272
250	-6180.866	-6207.505	26.63868	1.200754	31.11644	0.17519	0.529768	1.02667	2.26838	7.347363
260	-6169.623	-6189.866	20.24282	1.515656	27.41201	0.227731	0.591142	1.05133	2.1298	7.587957
270	-6168.273	-6201.58	33.30653	1.631121	30.17153	0.244886	0.60902	1.05728	2.08882	7.138898
280	-6177.519	-6195.615	18.09565	1.379904	29.1111	0.20616	0.567264	1.04251	2.18406	7.65958
290	-6190.024	-6213.892	23.86758	1.101199	28.07007	0.156692	0.505191	1.01493	2.32318	7.461329
300	-6159.037	-6180.518	21.48096	1.204272	30.66264	0.175826	0.530582	1.02704	2.26655	7.522341
310	-6173.555	-6202.366	28.81137	1.934499	28.77515	0.285328	0.647863	1.06826	1.99855	7.290605
320	-6175.753	-6200.842	25.08936	1.424647	28.63363	0.213444	0.575514	1.04567	2.16537	7.419906
330	-6201.187	-6219.156	17.9685	1.692836	27.01589	0.253634	0.617796	1.05999	2.06858	7.668336
340	-6175.282	-6200.873	25.59123	1.602013	31.47903	0.24066	0.6047	1.05589	2.09875	7.374302
350	-6165.136	-6199.773	34.6371	1.31625	31.85518	0.195491	0.554811	1.03752	2.21217	7.082558
360	-6169.672	-6193.881	24.209	1.527789	33.09087	0.229583	0.593117	1.05201	2.12529	7.377615
370	-6181.669	-6199.8	18.1307	1.105232	27.28267	0.157459	0.506247	1.01546	2.32083	7.66433
380	-6195.873	-6209.2	13.32736	1.8529	26.95017	0.27506	0.638401	1.06583	2.02071	7.839944
390	-6193.977	-6207.848	13.87142	1.522713	24.91822	0.22881	0.592294	1.05173	2.12717	7.784772
400	-6157.258	-6180.244	22.98605	1.247807	28.94657	0.18361	0.540381	1.0314	2.24461	7.492426
410	-6174.341	-6193.32	18.97911	1.392652	25.03002	0.208253	0.569655	1.04344	2.17865	7.584213
420	-6199.192	-6216.627	17.43511	1.362581	26.88667	0.203292	0.563961	1.04122	2.19153	7.686937
430	-6194.835	-6206.675	11.83979	1.398255	29.34563	0.209168	0.570696	1.04384	2.17629	7.869827
440	-6170.313	-6183.224	12.91036	1.607134	28.7797	0.241408	0.605469	1.05614	2.09698	7.843131
450	-6184.747	-6194.989	10.24156	1.555566	28.59058	0.23378	0.597552	1.05352	2.11514	7.939179
460	-6181.981	-6206.716	24.73525	1.291464	27.9544	0.191238	0.549716	1.0354	2.22364	7.429642
470	-6179.433	-6205.425	25.99194	1.849177	27.45997	0.274581	0.637953	1.06571	2.02175	7.378933
480	-6165.414	-6210.73	45.31566	1.255745	29.84751	0.18501	0.542114	1.03216	2.24072	6.736995
490	-6146.984	-6201.551	54.56719	0.9639396	32.3727	0.129704	0.465638	0.993758	2.4109	6.459512
500	-6180.064	-6206.678	26.61323	1.177386	29.35021	0.170931	0.524269	1.02414	2.28066	7.366381
510	-6163.283	-6192.996	29.71259	1.598752	30.37467	0.240182	0.604209	1.05573	2.09988	7.256518
520	-6164.2	-6195.933	31.73243	1.323907	29.13393	0.196794	0.556356	1.03816	2.20869	7.191242
530	-6152.597	-6186.527	33.92962	1.374605	27.79763	0.205285	0.56626	1.04212	2.18633	7.097604
540	-6172.035	-6193.127	21.09148	1.39699	26.45293	0.208962	0.570461	1.04375	2.17682	7.54339
550	-6173.822	-6206.56	32.73784	1.513714	29.05619	0.227433	0.590823	1.05122	2.13053	7.156276
560	-6170.122	-6208.204	38.08175	1.381201	30.51155	0.206373	0.567509	1.04261	2.18351	6.981044
570	-6197.633	-6225.614	27.98066	1.32337	31.07912	0.196703	0.556248	1.03811	2.20894	7.30479
580	-6182.878	-6208.598	25.71937	1.969645	28.1775	0.289624	0.651746	1.06921	1.98942	7.39609
590	-6183.011	-6196.628	13.61651	1.279272	25.15277	0.189125	0.547156	1.03432	2.2294	7.80202
600	-6189.001	-6203.72	14.71886	1.809428	28.02435	0.269414	0.633087	1.0644	2.0331	7.787546
610	-6176.036	-6189.718	13.68203	1.778886	29.48394	0.265371	0.629233	1.06333	2.04207	7.804414
