Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
55	1	-6136.606	-6188.201	51.59447	1.103662	33.18918	0.157161	0.505837	1.01526	2.32175	6.549611
56	0	-6177.519	-6195.615	18.09565	1.379904	29.1111	0.20616	0.567264	1.04251	2.18406	7.65958
57	1	-6136.189	-6204.06	67.87115	0.8899245	31.90768	0.114502	0.440968	0.979064	2.46547	6.040309
58	0	-6190.024	-6213.892	23.86758	1.101199	28.07007	0.156692	0.505191	1.01493	2.32318	7.461329
59	1	-6134.531	-6187.797	53.26533	1.100472	32.74996	0.156554	0.504999	1.01484	2.32361	6.500027
60	0	-6159.037	-6180.518	21.48096	1.204272	30.66264	0.175826	0.530582	1.02704	2.26655	7.522341
61	1	-6143.132	-6201.763	58.63133	1.109669	32.18436	0.158302	0.507403	1.01604	2.31826	6.332503
62	0	-6173.555	-6202.366	28.81137	1.934499	28.77515	0.285328	0.647863	1.06826	1.99855	7.290605
63	1	-6149.228	-6199.458	50.22949	0.8674083	34.1273	0.109801	0.432921	0.974015	2.48326	6.582939
64	0	-6175.753	-6200.842	25.08936	1.424647	28.63363	0.213444	0.575514	1.04567	2.16537	7.419906
65	1	-6148.563	-6185.757	37.19383	1.111902	31.65194	0.158725	0.507983	1.01632	2.31697	7.004258
66	0	-6201.187	-6219.156	17.9685	1.692836	27.01589	0.253634	0.617796	1.05999	2.06858	7.668336
67	1	-6197.368	-6206.321	8.953699	1.265834	26.6439	0.186781	0.544293	1.0331	2.23583	8.002571
68	0	-6175.282	-6200.873	25.59123	1.602013	31.47903	0.24066	0.6047	1.05589	2.09875	7.374302
69	1	-6178.99	-6205.603	26.61239	1.408074	25.38805	0.210766	0.572504	1.04453	2.1722	7.296287
70	0	-6165.136	-6199.773	34.6371	1.31625	31.85518	0.195491	0.554811	1.03752	2.21217	7.082558
71	1	-6162.155	-6189.844	27.68953	1.53016	29.55734	0.229944	0.593501	1.05214	2.12441	7.32905
72	0	-6169.672	-6193.881	24.209	1.527789	33.09087	0.229583	0.593117	1.05201	2.12529	7.377615
73	1	-6171.751	-6188.353	16.60183	1.263218	28.48955	0.186323	0.54373	1.03286	2.23709	7.717581
74	0	-6181.669	-6199.8	18.1307	1.105232	27.28267	0.157459	0.506247	1.01546	2.32083	7.66433
75	1	-6202.069	-6203.117	1.048908	1.605708	24.26881	0.2412	0.605255	1.05607	2.09747	8.288493
76	0	-6195.873	-6209.2	13.32736	1.8529	26.95017	0.27506	0.638401	1.06583	2.02071	7.839944
77	1	-6190.273	-6185.368	-4.905564	1.789627	26.03569	0.2668	0.6306	1.06371	2.03889	8.532267
78	0	-6193.977	-6207.848	13.87142	1.522713	24.91822	0.22881	0.592294	1.05173	2.12717	7.784772
79	1	-6187.028	-6202.89	15.8623	1.163794	26.16466	0.16843	0.520997	1.0226	2.28797	7.736847
80	0	-6157.258	-6180.244	22.98605	1.247807	28.94657	0.18361	0.540381	1.0314	2.24461	7.492426
81	1	-6197.619	-6198.234	0.614768	1.394486	25.9604	0.208553	0.569996	1.04357	2.17788	8.320518
82	0	-6174.341	-6193.32	18.97911	1.392652	25.03002	0.208253	0.569655	1.04344	2.17865	7.584213
83	1	-6196.197	-6199.155	2.957745	1.169983	28.15322	0.169571	0.522494	1.02331	2.28463	8.204426
84	0	-6199.192	-6216.627	17.43511	1.362581	26.88667	0.203292	0.563961	1.04122	2.19153	7.686937
85	1	-6158.525	-6182.029	23.50382	1.694192	28.36608	0.253823	0.617983	1.06005	2.06815	7.475194
86	0	-6194.835	-6206.675	11.83979	1.398255	29.34563	0.209168	0.570696	1.04384	2.17629	7.869827
87	1	-6170.751	-6195.224	24.4727	1.561178	29.55168	0.23462	0.598433	1.05382	2.11313	7.437927
88	0	-6170.313	-6183.224	12.91036	1.607134	28.7797	0.241408	0.605469	1.05614	2.09698	7.843131
89	1	-6195.936	-6201.922	5.98555	1.624396	29.39916	0.243915	0.608033	1.05696	2.09109	8.067839
90	0	-6184.747	-6194.989	10.24156	1.555566	28.59058	0.23378	0.597552	1.05352	2.11514	7.939179
91	1	-6145.887	-6186.124	40.23725	1.275407	30.90827	0.188453	0.546337	1.03397	2.23124	6.910668
92	0	-6181.981	-6206.716	24.73525	1.291464	27.9544	0.191238	0.549716	1.0354	2.22364	7.429642
93	1	-6165.153	-6197.556	32.40284	1.233455	30.0069	0.181063	0.537207	1.03001	2.25172	7.169346
94	0	-6179.433	-6205.425	25.99194	1.849177	27.45997	0.274581	0.637953	1.06571	2.02175	7.378933
95	1	-6164.146	-6180.303	16.15632	1.715365	25.45091	0.256758	0.620876	1.06091	2.06145	7.709884
96	0	-6165.414	-6210.73	45.31566	1.255745	29.84751	0.18501	0.542114	1.03216	2.24072	6.736995
97	1	-6178.64	-6183.796	5.156179	1.259623	25.71594	0.185692	0.542954	1.03252	2.23883	8.144343
98	0	-6146.984	-6201.551	54.56719	0.9639396	32.3727	0.129704	0.465638	0.993758	2.4109	6.459512
99	1	-6195.825	-6201.082	5.256954	1.683947	25.32151	0.252392	0.616562	1.05962	2.07143	8.136659
100	0	-6180.064	-6206.678	26.61323	1.177386	29.35021	0.170931	0.524269	1.02414	2.28066	7.366381
101	1	-6190.51	-6185.722	-4.787553	1.591876	22.54795	0.239173	0.603168	1.05539	2.10227	8.480838
102	0	-6163.283	-6192.996	29.71259	1.598752	30.37467	0.240182	0.604209	1.05573	2.09988	7.256518
103	1	-6177.749	-6189.715	11.96597	1.483514	27.57495	0.222765	0.585789	1.04944	2.14201	7.889165
104	0	-6164.2	-6195.933	31.73243	1.323907	29.13393	0.196794	0.556356	1.03816	2.20869	7.191242
105	1	-6147.758	-6186.295	38.5368	1.431787	28.25804	0.21459	0.576794	1.04615	2.16246	6.942975
106	0	-6152.597	-6186.527	33.92962	1.374605	27.79763	0.205285	0.56626	1.04212	2.18633	7.097604
107	1	-6183.159	-6200.224	17.06578	1.261951	29.20618	0.1861	0.543457	1.03274	2.2377	7.693706
108	0	-6172.035	-6193.127	21.09148	1.39699	26.45293	0.208962	0.570461	1.04375	2.17682	7.54339
109	1	-6159.53	-6185.251	25.72087	1.939758	29.99252	0.285976	0.648451	1.06841	1.99717	7.392167
110	0	-6173.822	-6206.56	32.73784	1.513714	29.05619	0.227433	0.590823	1.05122	2.13053	7.156276
111	1	-6164.773	-6193.783	29.00958	1.771023	29.86734	0.264321	0.628224	1.06304	2.04441	7.28321
112	0	-6170.122	-6208.204	38.08175	1.381201	30.51155	0.206373	0.567509	1.04261	2.18351	6.981044
113	1	-6178.229	-6193.043	14.81374	1.85435	26.19599	0.275246	0.638574	1.06588	2.0203	7.777386
114	0	-6197.633	-6225.614	27.98066	1.32337	31.07912	0.196703	0.556248	1.03811	2.20894	7.30479
115	1	-6186.381	-6198.327	11.94588	1.802232	28.60804	0.268467	0.632189	1.06415	2.03519	7.87931
116	0	-6182.878	-6208.598	25.71937	1.969645	28.1775	0.289624	0.651746	1.06921	1.98942	7.39609
117	1	-6170.189	-6189.848	19.65906	1.859754	31.38656	0.275938	0.63922	1.06605	2.01879	7.565094
118	0	-6183.011	-6196.628	13.61651	1.279272	25.15277	0.189125	0.547156	1.03432	2.2294	7.80202
119	1	-6191.777	-6217.215	25.43732	1.429202	30.50149	0.214176	0.576332	1.04598	2.16351	7.395596
120	0	-6189.001	-6203.72	14.71886	1.809428	28.02435	0.269414	0.633087	1.0644	2.0331	7.787546
121	1	-6197.511	-6199.99	2.479518	2.010852	25.48518	0.294567	0.656163	1.07026	1.97901	8.247468
122	0	-6176.036	-6189.718	13.68203	1.778886	29.48394	0.265371	0.629233	1.06333	2.04207	7.804414
123	1	-6165.679	-6190.659	24.97928	1.711599	33.48405	0.256238	0.620366	1.06076	2.06264	7.342886
124	0	-6204.889	-6209.929	5.039492	1.035654	27.63124	0.144013	0.487212	1.00567	2.36311	8.139524
125	1	-6156.829	-6185.447	28.61745	1.670562	30.54785	0.250509	0.614686	1.05904	2.07576	7.290854
126	0	-6196.681	-6205.013	8.331839	2.165641	29.47496	0.312277	0.671546	1.07363	1.94255	7.986106
127	1	-6153.246	-6197.608	44.36179	1.425479	32.60113	0.213578	0.575663	1.04573	2.16503	6.773122
128	0	-6198.553	-6209.79	11.23601	1.378914	25.40577	0.205997	0.567077	1.04244	2.18448	7.902305
129	1	-6142.644	-6181.856	39.21231	1.247072	30.33611	0.18348	0.54022	1.03133	2.24497	6.943677
130	0	-6179.655	-6211.954	32.29884	1.139673	28.31784	0.16395	0.515053	1.01977	2.30122	7.164523
131	1	-6168.236	-6193.618	25.38202	1.367582	33.46846	0.204123	0.564921	1.0416	2.18936	7.331318
132	0	-6184.11	-6213.57	29.45984	2.030803	29.73685	0.296924	0.65825	1.07074	1.97408	7.268659
133	1	-6170.258	-6190.38	20.12235	1.586394	26.90612	0.238365	0.602332	1.05512	2.10419	7.587247
134	0	-6173.712	-6195.985	22.27297	1.508478	26.66187	0.226629	0.589961	1.05092	2.13249	7.503018
135	1	-6166.792	-6192.742	25.9493	1.312532	26.07809	0.194857	0.554056	1.03721	2.21387	7.348563
136	0	-6174.788	-6197.424	22.63636	1.350312	27.89142	0.201245	0.561584	1.04027	2.1969	7.504413
137	1	-6171.367	-6202.284	30.91702	1.276409	33.04324	0.188627	0.54655	1.03406	2.23076	7.175983
138	0	-6160.608	-6192.581	31.97267	1.205652	29.49082	0.176076	0.530901	1.02718	2.26584	7.184064
139	1	-6185.052	-6210.398	25.34599	1.076858	28.72226	0.152029	0.498694	1.01165	2.33762	7.411022
140	0	-6158.113	-6190.223	32.1109	1.593664	28.90697	0.239436	0.603439	1.05548	2.10165	7.17693
