"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-12.1252607432085,-9.47874663827614,-14.7990958769134,0,1,0,0
"Retention Index",-13.2784668910476,-11.03546444017,-15.4516966925777,0,1,0,0
