"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-21.6776667556261,-19.0147757905902,-24.5237185934867,0,1,0,0
"Retention Index",-9.0584664615766,-6.30558320429154,-11.4697149369954,0,1,0,0
