Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1033.511	-1063.919	30.40794	4556.438	28.35736	0.981232	0.995128	1.00475	1.01889	3.661053
10	-1031.677	-1063.429	31.7528	10074.94	22.6802	0.987365	0.996737	1.00321	1.01269	3.612805
20	-1015.767	-1053.703	37.93582	43130.32	25.78407	0.993886	0.99843	1.00156	1.00613	3.396555
30	-1020.819	-1050.544	29.72497	28504.48	27.82207	0.992481	0.998067	1.00191	1.00754	3.693445
40	-1019.115	-1054.38	35.26509	43036.42	28.38046	0.993879	0.998428	1.00156	1.00613	3.48955
50	-1020.759	-1051.134	30.37421	55483.94	25.04768	0.994609	0.998617	1.00137	1.0054	3.691969
60	-1005.587	-1045.822	40.23555	35116.18	26.22326	0.993225	0.998259	1.00172	1.00679	3.311097
70	-1005.828	-1042.639	36.81133	8387.224	26.93114	0.986155	0.996421	1.00351	1.01391	3.441894
80	-1012.015	-1041.707	29.69198	11980.46	24.95254	0.988411	0.99701	1.00294	1.01164	3.719356
90	-993.1685	-1027.863	34.69408	11044.46	23.65592	0.987931	0.996885	1.00306	1.01212	3.50392
100	-996.2847	-1033.357	37.07262	14186.78	30.79731	0.989348	0.997254	1.00271	1.01069	3.398725
110	-1005.85	-1032.221	26.37056	53905.59	27.34991	0.994531	0.998596	1.00139	1.00548	3.822603
120	-999.8513	-1035.14	35.2891	20651.62	27.2247	0.991169	0.997727	1.00225	1.00886	3.497165
130	-990.7191	-1032.347	41.62793	48114.71	27.43319	0.994211	0.998514	1.00147	1.0058	3.264978
140	-978.643	-1029.495	50.85189	37018.06	37.79994	0.993401	0.998305	1.00168	1.00661	2.893263
150	-969.7791	-1035.245	65.46597	15872.53	31.97427	0.989929	0.997405	1.00256	1.01011	2.492027
160	-972.2398	-1035.714	63.47373	85596.51	34.38804	0.995659	0.998887	1.00111	1.00435	2.566289
170	-981.1223	-1022.519	41.39646	55257.75	31.70318	0.994598	0.998614	1.00138	1.00541	3.24821
180	-997.4285	-1037.681	40.25223	46026.82	25.44784	0.994081	0.99848	1.00151	1.00593	3.303016
190	-993.7868	-1028.165	34.37831	70642.5	25.03387	0.995222	0.998774	1.00122	1.00479	3.532031
200	-981.9059	-1031.136	49.23058	62041.37	31.41058	0.994901	0.998692	1.0013	1.00511	3.002287
210	-1019.381	-1046.14	26.75918	5279.207	27.44521	0.98256	0.995478	1.00441	1.01755	3.806769
220	-988.4547	-1039.175	50.72008	8736.526	33.61561	0.986434	0.996494	1.00344	1.01363	2.943695
230	-988.1409	-1043.413	55.27217	78303.79	32.94252	0.995461	0.998836	1.00116	1.00455	2.810188
240	-976.844	-1032.515	55.67119	35454.06	35.6291	0.993257	0.998268	1.00172	1.00676	2.785448
250	-984.4511	-1040.058	55.60681	78708.78	31.71915	0.995473	0.998839	1.00115	1.00453	2.800008
260	-977.383	-1038.658	61.27527	58756.48	36.16759	0.994761	0.998656	1.00133	1.00525	2.626282
270	-989.6427	-1041.474	51.83086	65195.79	30.55794	0.995026	0.998724	1.00127	1.00498	2.919187
280	-980.5849	-1032.593	52.00775	31292.23	32.60282	0.992824	0.998156	1.00183	1.00719	2.91084
290	-982.5684	-1045.789	63.22057	80113.75	29.96975	0.995513	0.998849	1.00114	1.00449	2.537458
300	-985.2185	-1044.988	59.76987	61340.21	31.87442	0.994872	0.998684	1.00131	1.00514	2.669646
310	-974.8089	-1037.406	62.59701	40083.98	45.62795	0.993658	0.998371	1.00161	1.00636	2.505287
320	-977.6119	-1029.974	52.36227	10460.12	29.02898	0.987599	0.996798	1.00315	1.01246	2.893651
330	-977.8468	-1024.249	46.40213	62892.87	28.38073	0.994936	0.998701	1.00129	1.00507	3.097131
340	-974.2033	-1029.911	55.70797	34585.77	35.73185	0.993173	0.998246	1.00174	1.00684	2.783651
350	-989.9676	-1038.594	48.6259	18689.6	30.53739	0.990718	0.99761	1.00236	1.00931	3.024102
360	-1006.723	-1034.814	28.0907	80359.43	24.13829	0.99552	0.998851	1.00114	1.00449	3.784585
370	-1007.46	-1036.937	29.47658	71348.32	23.23778	0.995245	0.998781	1.00121	1.00476	3.720651
380	-989.531	-1040.05	50.51941	11276.68	29.01334	0.988056	0.996917	1.00303	1.012	2.957035
390	-996.7246	-1034.034	37.30944	85235.69	28.82381	0.99565	0.998885	1.00111	1.00436	3.414038
400	-982.8211	-1037.251	54.42952	25916.68	35.81579	0.992115	0.997972	1.00201	1.00791	2.818708
410	-989.8752	-1026.533	36.6576	69113.55	28.77854	0.995169	0.998761	1.00123	1.00484	3.437076
420	-987.1359	-1027.624	40.48826	42721.73	29.70986	0.993857	0.998423	1.00156	1.00616	3.298112
430	-997.6404	-1038.043	40.4023	21677.62	32.10467	0.99138	0.997782	1.00219	1.00865	3.274076
440	-988.3673	-1037.513	49.14525	51042.03	30.52128	0.994379	0.998557	1.00143	1.00563	3.00711
450	-983.7825	-1025.029	41.24676	53630.06	26.40547	0.994517	0.998593	1.0014	1.00549	3.27401
460	-986.8176	-1029.371	42.55355	39798.52	27.09066	0.993636	0.998365	1.00162	1.00638	3.229632
470	-990.4578	-1030.432	39.97388	43711.13	25.9778	0.993927	0.998441	1.00155	1.00609	3.31923
480	-996.288	-1035.572	39.28416	29851.27	29.35089	0.992653	0.998111	1.00187	1.00737	3.341745
490	-1002.329	-1029.323	26.99359	17476.41	25.02298	0.990401	0.997528	1.00244	1.00963	3.827086
500	-976.6421	-1029.178	52.53564	48743.81	28.52314	0.994249	0.998524	1.00146	1.00576	2.882655
510	-996.0874	-1039.92	43.83281	63644.68	28.49192	0.994966	0.998709	1.00128	1.00504	3.187753
520	-993.1455	-1051.84	58.69416	50012.08	31.0312	0.994322	0.998543	1.00145	1.00569	2.698482
