Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
55	1	-989.6956	-1029.58	39.88408	97912.96	23.29471	0.995941	0.99896	1.00103	1.00407	3.274484
56	0	-980.5849	-1032.593	52.00775	31292.23	32.60282	0.992824	0.998156	1.00183	1.00719	2.91084
57	1	-986.7585	-1029.908	43.14995	69952.4	28.05952	0.995198	0.998768	1.00122	1.00481	3.21143
58	0	-982.5684	-1045.789	63.22057	80113.75	29.96975	0.995513	0.998849	1.00114	1.00449	2.537458
59	1	-996.9303	-1029.884	32.95404	79533.84	26.39093	0.995496	0.998845	1.00115	1.00451	3.588126
60	0	-985.2185	-1044.988	59.76987	61340.21	31.87442	0.994872	0.998684	1.00131	1.00514	2.669646
61	1	-975.6562	-1023.441	47.78503	75429.49	26.4882	0.995376	0.998814	1.00118	1.00463	3.027778
62	0	-974.8089	-1037.406	62.59701	40083.98	45.62795	0.993658	0.998371	1.00161	1.00636	2.505287
63	1	-994.3603	-1038.27	43.90947	49296.49	32.36677	0.994281	0.998532	1.00146	1.00573	3.161954
64	0	-977.6119	-1029.974	52.36227	10460.12	29.02898	0.987599	0.996798	1.00315	1.01246	2.893651
65	1	-995.1953	-1028.877	33.68151	42282.02	25.68693	0.993825	0.998414	1.00157	1.00619	3.561524
66	0	-977.8468	-1024.249	46.40213	62892.87	28.38073	0.994936	0.998701	1.00129	1.00507	3.097131
67	1	-993.5337	-1045.014	51.48014	6984.389	30.90333	0.984832	0.996074	1.00384	1.01525	2.930953
68	0	-974.2033	-1029.911	55.70797	34585.77	35.73185	0.993173	0.998246	1.00174	1.00684	2.783651
69	1	-993.6356	-1028.42	34.78445	11019.57	25.66364	0.987917	0.996881	1.00307	1.01213	3.518532
70	0	-989.9676	-1038.594	48.6259	18689.6	30.53739	0.990718	0.99761	1.00236	1.00931	3.024102
