Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
570	-982.5214	-1031.995	49.47342	39230.85	31.57671	0.99359	0.998354	1.00163	1.00642	2.993953
580	-998.6475	-1038.489	39.84164	8334.25	25.42506	0.986111	0.996409	1.00352	1.01396	3.318886
590	-994.1425	-1033.588	39.44547	89443.47	28.3886	0.995753	0.998911	1.00108	1.00425	3.342216
600	-992.9369	-1033.388	40.45143	18056.78	26.88169	0.990557	0.997568	1.0024	1.00948	3.30655
610	-986.7174	-1030.956	44.23846	80741.79	34.50905	0.99553	0.998854	1.00114	1.00448	3.12386
620	-998.0865	-1032.353	34.26625	2007.34	27.75566	0.971773	0.992612	1.0071	1.02851	3.530793
630	-991.5316	-1032.219	40.68784	26217.16	29.06415	0.992161	0.997984	1.00199	1.00786	3.295626
640	-980.9655	-1030.705	49.73996	88702.48	31.76471	0.995735	0.998907	1.00109	1.00427	2.984785
650	-980.4822	-1048.593	68.11114	72673.59	34.95669	0.995289	0.998792	1.0012	1.00472	2.434138
660	-1001.022	-1045.663	44.64122	97733.54	28.63132	0.995937	0.998959	1.00104	1.00407	3.159559
670	-998.4437	-1036.315	37.87159	58788.75	27.39335	0.994762	0.998656	1.00133	1.00525	3.401997
680	-993.0644	-1040.679	47.61415	88076.1	27.80314	0.99572	0.998903	1.00109	1.00429	3.050299
690	-1004.48	-1042.881	38.40106	26138.13	37.01981	0.992149	0.997981	1.002	1.00787	3.240134
700	-978.2124	-1036.208	57.99607	20908.5	32.12952	0.991223	0.997741	1.00223	1.0088	2.726136
710	-983.5689	-1032.619	49.05061	78411.31	34.94478	0.995464	0.998837	1.00116	1.00454	2.979537
720	-1002.722	-1032.655	29.93326	6459.703	19.52668	0.984229	0.995916	1.004	1.01586	3.578051
730	-1001.962	-1039.378	37.41577	62136.63	25.23941	0.994905	0.998693	1.0013	1.0051	3.412719
740	-1002.249	-1039.465	37.2161	53787.76	25.89582	0.994525	0.998595	1.00139	1.00549	3.425027
750	-988.4267	-1031.275	42.84877	83604.3	23.7648	0.995607	0.998874	1.00112	1.0044	3.162552
760	-997.6448	-1029.713	32.06832	42009.04	24.43619	0.993805	0.998409	1.00158	1.00621	3.621923
770	-1001.653	-1037.875	36.22162	25284.75	29.78045	0.992018	0.997947	1.00203	1.00801	3.44082
780	-1009.183	-1041.714	32.53145	42208.04	25.366	0.99382	0.998413	1.00157	1.00619	3.606375
790	-983.0223	-1022.016	38.9933	19315.34	25.53006	0.990869	0.997649	1.00232	1.00916	3.353302
