Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-6371.332	-6382.369	11.03702	23.31816	8.324656
10	-6357.759	-6374.746	16.98698	24.68117	8.11688
20	-6349.391	-6371.912	22.52137	32.01614	7.818444
30	-6352.815	-6360.448	7.632557	24.72142	8.496167
40	-6319.86	-6353.086	33.2266	28.49418	7.538144
50	-6333.656	-6363.783	30.12771	27.5632	7.648006
60	-6312.724	-6343.713	30.98829	27.46539	7.616276
70	-6312.167	-6345.264	33.09635	27.39268	7.538873
80	-6314.737	-6347.966	33.22845	28.35526	7.538244
90	-6324.822	-6355.393	30.57129	29.54096	7.621291
100	-6334.099	-6358.81	24.71181	25.17173	7.819139
110	-6316.336	-6329.111	12.77449	24.07091	8.274952
120	-6314.28	-6330.212	15.93178	28.18548	8.151866
130	-6312.615	-6323.36	10.74488	26.32585	8.371054
140	-6310.101	-6327.982	17.88124	32.10744	7.959585
150	-6305.087	-6323.319	18.23222	26.15975	8.086272
160	-6321.074	-6338.327	17.25292	28.71191	8.093869
170	-6324.165	-6339.034	14.86869	28.01608	8.193188
180	-6335.06	-6354.651	19.59063	26.99588	8.034539
190	-6323.509	-6334.661	11.15243	23.75609	8.334178
200	-6304.622	-6319.94	15.31772	26.39369	8.197123
210	-6287.147	-6323.089	35.94167	28.92772	7.442635
220	-6300.278	-6329.235	28.95642	25.37849	7.657146
230	-6307.741	-6331.318	23.57687	25.63095	7.874217
240	-6298.416	-6340.726	42.3099	27.54678	7.20571
250	-6291.36	-6329.261	37.90173	27.82969	7.36923
260	-6318.816	-6340.27	21.45381	26.26233	7.963872
270	-6292.225	-6313.388	21.16339	26.75036	7.976526
280	-6317.204	-6337.29	20.08636	24.89026	7.996717
290	-6314.49	-6325.937	11.44732	25.4846	8.347333
300	-6304.161	-6320.581	16.42012	30.47528	8.069616
310	-6297.359	-6321.099	23.73924	26.17693	7.875949
320	-6298.134	-6331.827	33.69299	27.96245	7.52108
330	-6295.665	-6330.97	35.30538	28.32254	7.464924
