Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
101	1	-6323.334	-6336.164	12.83077	25.80128	8.29363
102	0	-6286.106	-6304.461	18.35544	25.10671	8.070521
103	1	-6350.659	-6356.938	6.278419	22.70054	8.507243
104	0	-6304.405	-6319.02	14.61502	24.19651	8.201998
105	1	-6296.02	-6329.415	33.39577	27.8135	7.531061
106	0	-6295.787	-6325.788	30.00132	29.72516	7.637796
107	1	-6297.632	-6320.746	23.11396	27.02826	7.90403
108	0	-6290.308	-6314.317	24.00905	25.61266	7.857006
109	1	-6303.423	-6322.445	19.02214	25.369	8.048448
110	0	-6316.605	-6333.645	17.04016	22.85442	8.042471
111	1	-6301.855	-6326.003	24.14745	27.10811	7.865866
112	0	-6285.472	-6311.436	25.96374	23.35878	7.68713
113	1	-6329.79	-6354.861	25.07082	28.47668	7.824577
114	0	-6292.879	-6319.631	26.75229	25.82681	7.754586
115	1	-6309.054	-6335.675	26.62099	25.48856	7.752027
116	0	-6288.029	-6317.202	29.17356	25.84025	7.661157
117	1	-6304.559	-6327.184	22.62453	27.54515	7.920336
118	0	-6299.107	-6322.293	23.1856	25.09516	7.877838
119	1	-6316.068	-6338.592	22.52437	26.46921	7.924539
120	0	-6308.648	-6338.94	30.29162	28.00369	7.642696
121	1	-6313.477	-6342.959	29.48226	28.48207	7.669629
122	0	-6319.225	-6334.174	14.94943	27.42122	8.200919
123	1	-6285.546	-6312.168	26.62195	29.6287	7.753345
124	0	-6297.849	-6319.245	21.39547	29.0413	7.943175
125	1	-6320.061	-6341.656	21.59527	27.36029	7.958921
126	0	-6303.479	-6324.739	21.25992	29.1485	7.94556
127	1	-6289.455	-6313.185	23.72995	27.67825	7.87949
128	0	-6280.035	-6315.302	35.2675	24.68521	7.376425
129	1	-6290.95	-6317.721	26.77114	32.72558	7.661424
130	0	-6275.461	-6296.117	20.65603	26.55019	7.995326
131	1	-6313.483	-6327.813	14.33004	22.19741	8.120747
132	0	-6301.074	-6321.489	20.41541	30.14642	7.94848
133	1	-6298.768	-6330.042	31.27402	27.38962	7.605378
