Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1080	-6264.13	-6281.302	17.17158	28.63887	8.098384
1090	-6275.095	-6296.144	21.04895	28.5733	7.96416
1100	-6305.068	-6323.593	18.52482	25.19285	8.065293
1110	-6308.124	-6331.157	23.03358	29.42389	7.879032
1120	-6287.193	-6310.143	22.9501	27.23381	7.909805
1130	-6291.604	-6310.839	19.23504	28.04435	8.036909
1140	-6303.414	-6317.085	13.67082	27.65238	8.243413
1150	-6297.365	-6315.036	17.67065	28.03458	8.09286
1160	-6319.741	-6322.485	2.744499	23.63215	8.686245
1170	-6283.699	-6311.025	27.32613	26.92112	7.747508
1180	-6284.88	-6306.54	21.66005	29.52114	7.923423
1190	-6282.891	-6312.497	29.60578	24.33803	7.589679
1200	-6307.167	-6322.626	15.4594	25.36583	8.188855
1210	-6291.572	-6315.114	23.54196	26.6377	7.887116
1220	-6282.663	-6296.412	13.74945	28.24888	8.227794
1230	-6277.83	-6304.436	26.60599	28.65356	7.768791
1240	-6300.867	-6319.406	18.53894	25.61459	8.070598
1250	-6291.169	-6310.36	19.19144	27.44198	8.046022
1260	-6303.981	-6319.517	15.53653	28.52945	8.158137
1270	-6290.921	-6312.478	21.55727	27.69703	7.957819
1280	-6284.246	-6297.545	13.29936	27.27372	8.263544
1290	-6297.798	-6313.369	15.57071	25.6424	8.18665
1300	-6285.853	-6305.619	19.76631	25.46054	8.020545
1310	-6305.108	-6330.054	24.94665	28.19351	7.83195
1320	-6285.644	-6301.739	16.09487	25.64187	8.166206
1330	-6281.931	-6309.293	27.36154	26.65807	7.743936
1340	-6294.221	-6306.618	12.39696	23.00287	8.252772
1350	-6292.604	-6323.475	30.87154	29.01664	7.617111
1360	-6293.834	-6315.303	21.4693	25.4137	7.952818
1370	-6270.296	-6295.819	25.52273	27.97478	7.813186
1380	-6288.649	-6298.17	9.521111	32.14675	8.218004
1390	-6279.34	-6296.695	17.35532	28.30514	8.099044
1400	-6276.696	-6311.466	34.77005	29.61403	7.47848
1410	-6293.755	-6316.035	22.27963	30.03903	7.889534
1420	-6281.947	-6314.232	32.28487	28.3004	7.571599
1430	-6291.975	-6314.759	22.7833	26.13006	7.911999
1440	-6273.663	-6316.058	42.39546	31.32787	7.208299
1450	-6288.299	-6308.044	19.74533	26.94337	8.02902
1460	-6283.915	-6323.691	39.77642	30.05667	7.306937
1470	-6301.198	-6324.896	23.69786	30.11299	7.840452
1480	-6293.584	-6311.171	17.58629	25.01192	8.099496
1490	-6285.652	-6312.956	27.30403	25.90121	7.734758
1500	-6285.154	-6299.413	14.25953	28.32209	8.208013
1510	-6299.352	-6328.465	29.1131	25.98786	7.666833
1520	-6285.942	-6312.228	26.28587	29.82332	7.76079
1530	-6279.202	-6309.373	30.17086	25.76405	7.620595
1540	-6271.798	-6305.414	33.61628	26.04456	7.49513
1550	-6282.957	-6297.738	14.7807	26.94865	8.213226
1560	-6286.412	-6296.348	9.935535	21.96318	8.303793
1570	-6306.734	-6316.794	10.06024	25.68653	8.40143
1580	-6292.796	-6306.558	13.76186	25.45732	8.256361
1590	-6281.325	-6304.631	23.30688	25.88488	7.888848
1600	-6291.274	-6312.221	20.94785	27.59126	7.98081
1610	-6297.976	-6321.678	23.70253	27.84518	7.87933
1620	-6279.89	-6313.135	33.24509	30.52111	7.516724
1630	-6310.876	-6329.87	18.99458	26.60654	8.057865
1640	-6307.417	-6327.619	20.20212	26.589	8.012466
1650	-6292.588	-6331.406	38.81865	27.79153	7.335818
1660	-6294.177	-6320.173	25.99668	27.18645	7.797849
1670	-6303.79	-6324.186	20.39617	27.83116	7.998237
1680	-6288.142	-6306.019	17.87705	25.48582	8.095049
1690	-6273.023	-6306.286	33.26315	28.10764	7.536841
1700	-6321.079	-6335.497	14.41787	29.14843	8.180292
1710	-6293.235	-6316.035	22.79925	25.22331	7.896339
1720	-6297.318	-6320.298	22.98016	26.03349	7.903382
