Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-1047.963	-1070.945	22.98186	26.29535	4.405579
10	-1041.267	-1074.092	32.82514	22.50585	4.072987
20	-1029.529	-1070.165	40.63583	22.91429	3.732093
30	-1042.086	-1078.663	36.57696	21.86411	3.898465
40	-1044.029	-1072.405	28.37585	20.67954	4.26854
50	-1051.174	-1080.12	28.94685	22.13055	4.246989
60	-1027.05	-1065.312	38.26136	21.78614	3.819912
70	-1036.018	-1065.501	29.48313	25.1577	4.184897
80	-1021.859	-1056.973	35.11424	21.21986	3.95511
90	-1048.275	-1071.064	22.78949	19.84538	4.536612
100	-1026.354	-1058.427	32.07265	19.47392	4.056147
110	-1047.908	-1068.378	20.46963	17.21672	4.594001
120	-1045.904	-1074.083	28.1786	23.00155	4.274786
130	-1025.285	-1067.502	42.21759	22.44098	3.654322
140	-1027.401	-1061.639	34.23873	25.29407	3.993975
150	-1031.069	-1057.645	26.57581	16.56037	4.187616
160	-1030.258	-1061.927	31.66919	25.71338	4.087537
170	-1037.366	-1072.685	35.31848	23.00584	3.964387
180	-1041.612	-1078.351	36.73903	23.42502	3.903995
190	-1024.555	-1066.266	41.71051	25.87869	3.696154
200	-1031.769	-1067.793	36.0238	22.6751	3.932078
210	-1030.961	-1066.369	35.40823	27.7292	3.905025
220	-1038.779	-1070.925	32.14584	20.42501	4.080832
230	-1049.973	-1080.79	30.81724	23.40167	4.157006
240	-1040.352	-1073.919	33.56699	21.84434	4.035949
250	-1043.215	-1077.198	33.98276	22.37428	4.020956
260	-1036.276	-1072.963	36.68629	21.07908	3.87765
270	-1040.618	-1078.25	37.63277	26.25888	3.848908
280	-1025.754	-1060.653	34.89859	21.37213	3.968048
290	-1045.886	-1071.751	25.86516	19.91466	4.382666
300	-1045.063	-1069.826	24.7631	23.68014	4.409889
310	-1045.477	-1070.395	24.91774	18.59654	4.401234
320	-1025.142	-1073.215	48.07244	22.17853	3.384494
330	-1025.656	-1065.28	39.62415	21.58307	3.752505
340	-1027.611	-1068.032	40.42069	25.80838	3.74652
350	-1036.29	-1068.359	32.06902	24.58303	4.091033
360	-1059.543	-1076.991	17.44845	21.47178	4.78242
370	-1035.983	-1075.164	39.18098	22.24945	3.786613
380	-1034.75	-1069.79	35.03976	23.92985	3.974855
390	-1027.963	-1062.311	34.34746	21.60367	3.997269
400	-1043.004	-1089.401	46.39777	27.32673	3.511432
410	-1028.147	-1074.546	46.39839	29.96328	3.483011
420	-1055.165	-1075.958	20.79288	23.38425	4.585843
430	-1056.22	-1077.871	21.65165	18.54196	4.575547
440	-1035.209	-1065.423	30.21397	19.5395	4.153677
450	-1035.333	-1059.598	24.26442	24.79338	4.402747
460	-1028.25	-1074.31	46.05989	25.68493	3.527827
470	-1026.673	-1058.011	31.33858	23.89696	4.129899
480	-1019.523	-1063.499	43.97583	28.06879	3.592189
490	-1038.661	-1066.49	27.82853	26.34003	4.220015
500	-1033.941	-1063.172	29.23112	25.02408	4.197738
510	-1021.104	-1067.444	46.34011	23.9925	3.50353
520	-1030.212	-1066.022	35.81001	24.01963	3.942306
530	-1036.168	-1068.79	32.62188	22.71034	4.082095
540	-1038.348	-1069.834	31.48555	25.14802	4.105475
550	-1044.262	-1077.87	33.60791	25.71503	4.012111
560	-1036.66	-1070.699	34.03896	24.76869	4.008801
570	-1025.67	-1071.69	46.02041	24.38369	3.521563
580	-1044.97	-1068.203	23.23321	20.18123	4.51646
590	-1050.785	-1082.042	31.25704	19.59969	4.10231
600	-1034.267	-1068.86	34.59291	23.93938	3.993473
610	-1015.214	-1057.993	42.77937	26.35404	3.652315
620	-1028.976	-1059.703	30.72623	19.90422	4.138291
630	-1029.042	-1064.854	35.81121	25.25078	3.93231
640	-1051.741	-1069.463	17.72179	20.9314	4.779869
650	-1038.051	-1072.269	34.21853	25.89266	3.985421
660	-1037.035	-1070.977	33.94185	20.10155	3.983339
670	-1038.511	-1062.544	24.03308	23.72996	4.439565
680	-1028.207	-1065.327	37.11917	29.40503	3.806459
690	-1040.027	-1065.939	25.91172	22.1383	4.384065
700	-1034.803	-1063.014	28.21098	26.983	4.187216
710	-1039.322	-1073.204	33.88199	21.58977	4.01864
720	-1042.867	-1064.042	21.17497	19.12136	4.611863
730	-1032.303	-1068.219	35.91578	22.30749	3.933941
740	-1035.555	-1070.192	34.63647	19.07973	3.905742
750	-1027.101	-1076.399	49.2979	26.3793	3.405041
760	-1042.848	-1077.148	34.29919	23.54323	4.00776
770	-1035.769	-1066.601	30.83259	26.35813	4.105537
780	-1027.182	-1059.009	31.82653	23.34851	4.114251
790	-1030.717	-1065.214	34.49782	22.84585	3.999842
800	-1041.37	-1072.44	31.0694	19.22621	4.098578
810	-1033.476	-1070.811	37.33559	21.49083	3.856628
820	-1044.996	-1076.718	31.72275	22.9294	4.121008
830	-1022.216	-1066.367	44.15081	24.24042	3.597105
840	-1029.633	-1058.252	28.61942	21.21094	4.261136
850	-1035.09	-1064.492	29.4028	20.5831	4.217555
860	-1044.943	-1074.299	29.35569	27.51535	4.129606
870	-1036.337	-1068.793	32.45546	19.37869	4.032772
880	-1030.707	-1057.978	27.2707	23.28853	4.310274
890	-1054.957	-1079.129	24.17231	19.33013	4.459324
900	-1048.147	-1081.956	33.80951	26.24564	3.994759
910	-1050.106	-1086.172	36.06529	25.79418	3.915475
920	-1027.504	-1062.209	34.70547	22.41645	3.988924
930	-1040.82	-1068.843	28.02309	22.45726	4.286728
940	-1051.132	-1077.018	25.88608	23.48993	4.366107
950	-1049.155	-1070.147	20.99161	26.95482	4.455875
960	-1030.894	-1060.619	29.7256	20.50354	4.200631
970	-1043.214	-1067.492	24.2774	19.79341	4.461026
980	-1036.601	-1067.737	31.13645	23.00943	4.146148
990	-1031.571	-1064.073	32.50214	22.61611	4.087398
1000	-1023.44	-1067.692	44.25191	28.50849	3.576904
1010	-1057.725	-1083.552	25.82663	19.0454	4.366541
1020	-1036.869	-1074.874	38.00491	29.38558	3.776785
1030	-1028.111	-1060.696	32.58555	20.6256	4.063842
1040	-1032.939	-1073.523	40.58374	22.17985	3.722176
1050	-1014.923	-1058.988	44.06528	25.66121	3.605509
1060	-1027.422	-1062.752	35.33085	19.02113	3.866198
1070	-1038.763	-1075.588	36.82462	26.97922	3.868057
1080	-1045.756	-1074.766	29.00924	26.02284	4.183359
1090	-1047.285	-1073.813	26.52775	18.48926	4.310501
1100	-1046.935	-1065.808	18.87364	19.6457	4.734147
1110	-1039.419	-1067.726	28.30681	22.97331	4.269519
1120	-1031.153	-1058.987	27.83448	22.84642	4.291501
1130	-1035.194	-1070.951	35.7576	22.85377	3.944734
1140	-1042.183	-1066.298	24.11579	21.00935	4.474214
1150	-1057.812	-1079.207	21.39514	22.36867	4.583662
1160	-1030.785	-1055.899	25.11418	22.34647	4.417678
1170	-1035.373	-1064.796	29.42331	23.2525	4.218229
1180	-1024.832	-1061.609	36.77717	22.45737	3.896918
1190	-1037.48	-1074.357	36.87721	28.0048	3.846428
1200	-1036.468	-1078.01	41.54202	23.05092	3.69449
1210	-1033.656	-1068.729	35.073	20.79742	3.947704
1220	-1050.886	-1081.277	30.39064	21.43997	4.179457
1230	-1056.148	-1077.535	21.3869	23.6496	4.553308
1240	-1019.929	-1057.09	37.16111	24.65702	3.883462
1250	-1031.834	-1069.428	37.59452	19.46833	3.772306
1260	-1043.647	-1076.519	32.87116	19.58162	4.01928
1270	-1032.574	-1064.512	31.93828	24.27662	4.100463
1280	-1041.285	-1069.532	28.24686	22.19555	4.27832
1290	-1034.707	-1067.496	32.78948	23.31944	4.073153
1300	-1027.8	-1073.64	45.84055	26.15417	3.536476
1310	-1039.24	-1074.476	35.23595	25.31943	3.954228
1320	-1038.875	-1076.15	37.27571	24.16536	3.880953
1330	-1030.835	-1064.531	33.69609	23.43241	4.033867
1340	-1050.041	-1075.568	25.52731	22.11219	4.401686
1350	-1040.673	-1071.314	30.64145	26.0316	4.120437
1360	-1046.017	-1074.779	28.76266	21.37478	4.255158
1370	-1034.146	-1059.354	25.20736	20.69143	4.421797
1380	-1031.866	-1067.44	35.57398	20.15909	3.90419
1390	-1021.467	-1059.898	38.43109	21.76805	3.811754
1400	-1019.557	-1062.256	42.69928	25.09603	3.659563
1410	-1033.19	-1069.05	35.85917	21.88727	3.931615
1420	-1020.672	-1061.579	40.9074	25.34239	3.73014
1430	-1022.784	-1066.81	44.02591	25.37588	3.607109
1440	-1037.188	-1065.37	28.18201	22.61438	4.278433
1450	-1033.005	-1065.4	32.39574	20.95459	4.079211
1460	-1025.204	-1059.573	34.36877	23.8136	4.003577
1470	-1047.205	-1070.214	23.00878	22.66505	4.506246
1480	-1038.638	-1064.548	25.90973	23.46496	4.365561
1490	-1029.862	-1073.825	43.96358	28.21299	3.590859
1500	-1023.553	-1063.934	40.38125	23.62948	3.75002
1510	-1037.621	-1071.21	33.58894	24.96946	4.024344
1520	-1037.021	-1065.416	28.39507	25.15413	4.228228
1530	-1051.504	-1079.275	27.77065	19.23843	4.270518
1540	-1053.63	-1069.565	15.93422	19.72882	4.883109
1550	-1029.483	-1063.157	33.67398	22.73187	4.0358
1560	-1046.991	-1072.201	25.20987	18.64216	4.387053
1570	-1035.849	-1074.146	38.29638	23.49664	3.837808
1580	-1041.356	-1072.331	30.97544	20.31667	4.135875
1590	-1048.596	-1082.357	33.76107	24.20831	4.026011
1600	-1036.994	-1072.174	35.18043	20.00748	3.918361
1610	-1020.65	-1062.563	41.91285	23.91652	3.687544
1620	-1014.414	-1059.445	45.03119	24.57922	3.563724
1630	-1027.23	-1068.558	41.32784	22.61856	3.697201
1640	-1027.923	-1068.627	40.7046	21.66768	3.704721
1650	-1032.598	-1073.064	40.46597	27.31368	3.728682
1660	-1031.923	-1069.637	37.7138	27.02659	3.834323
1670	-1023.184	-1068.265	45.0805	24.95962	3.564072
1680	-1029.833	-1068.643	38.80973	23.85604	3.817182
1690	-1033.864	-1066.239	32.37478	28.64256	3.989781
1700	-1031.873	-1064.64	32.76758	27.35069	4.009638
1710	-1013.678	-1056.033	42.3546	25.64339	3.672236
1720	-1018.545	-1057.695	39.15015	22.97463	3.797535
1730	-1010.548	-1055.511	44.96277	30.07863	3.529007
1740	-1023.481	-1068.431	44.95002	24.78353	3.56837
1750	-1042.513	-1063.657	21.1437	17.63491	4.574101
1760	-1040.882	-1065.758	24.87617	20.14688	4.434751
1770	-1023.359	-1058.594	35.23566	25.50294	3.951814
1780	-1032.396	-1066.833	34.43729	20.6691	3.975166
1790	-1027.723	-1059.396	31.6724	19.44551	4.075667
1800	-1035.022	-1070.131	35.10929	19.63522	3.907281
1810	-1046.203	-1076.54	30.33755	24.8695	4.156416
1820	-1045.075	-1069.974	24.89886	21.51289	4.4352
1830	-1023.952	-1062.38	38.42797	25.33865	3.828007
1840	-1032.203	-1072.565	40.36227	24.08784	3.75301
1850	-1032.975	-1067.504	34.52896	22.66093	3.997952
1860	-1027.672	-1060.248	32.5761	21.92811	4.081886
1870	-1031.825	-1064.379	32.55368	24.39126	4.073755
1880	-1033.768	-1066.17	32.40184	21.65596	4.087805
1890	-1026.745	-1068.944	42.19914	25.21441	3.679382
1900	-1042.738	-1073.957	31.21947	21.66134	4.142437
1910	-1055.354	-1078.415	23.06074	18.22452	4.4895
1920	-1037.456	-1063.608	26.15191	21.21278	4.377467
1930	-1037.242	-1077.146	39.90326	27.5835	3.745221
1940	-1030.02	-1067.782	37.7617	28.32367	3.808419
1950	-1018.465	-1057.846	39.38147	22.10082	3.774934
1960	-1035.023	-1069.488	34.46466	21.57284	3.991413
1970	-1041.727	-1060.126	18.399	20.32116	4.754856
1980	-1028.348	-1063.817	35.46937	22.53974	3.955724
1990	-1025.391	-1061.562	36.17119	23.09438	3.927633
2000	-1045.078	-1071.863	26.78496	20.69114	4.345551
2010	-1046.652	-1079.948	33.29544	22.19536	4.050861
2020	-1047.212	-1077.811	30.5982	21.99375	4.172219
2030	-1040.032	-1076.29	36.2585	21.98966	3.914805
2040	-1032.013	-1068.416	36.40327	22.28923	3.911893
2050	-1040.19	-1071.229	31.03906	21.90801	4.151913
2060	-1037.771	-1071.752	33.98043	22.96483	4.022553
2070	-1044.668	-1082.386	37.71712	25.93024	3.849858
2080	-1039.426	-1068.75	29.32331	18.87748	4.176426
2090	-1034.09	-1067.907	33.81758	21.14907	4.015002
2100	-1031.504	-1075.778	44.27373	25.56357	3.597425
2110	-1018.737	-1057.852	39.11457	24.83984	3.803613
2120	-1037.421	-1065.135	27.71429	23.82004	4.282906
2130	-1027.15	-1057.652	30.50226	21.48418	4.17455
2140	-1041.674	-1071.607	29.93333	21.71616	4.20199
2150	-1048.639	-1075.461	26.82174	20.76473	4.344255
2160	-1032.179	-1061.404	29.22482	24.91588	4.200219
2170	-1027.476	-1062.727	35.25109	30.18489	3.848952
2180	-1040.076	-1077.516	37.44006	21.16176	3.844043
2190	-1030.739	-1064.088	33.34883	22.78138	4.05013
2200	-1030.482	-1062.939	32.45764	21.04337	4.077704
2210	-1029.904	-1060.093	30.1888	21.64104	4.189933
2220	-1031.819	-1070.517	38.69759	25.74058	3.813943
2230	-1027.064	-1064.765	37.70141	21.42181	3.838056
2240	-1030.755	-1068.549	37.79377	21.86745	3.842872
2250	-1035.393	-1068.358	32.96508	19.55137	4.013335
2260	-1050.338	-1084.345	34.00733	21.80716	4.015401
2270	-1020.535	-1051.057	30.52204	23.1229	4.172029
2280	-1043.118	-1067.46	24.34148	22.32822	4.452509
2290	-1024.826	-1063.291	38.46488	25.92943	3.821029
2300	-1034.505	-1055.997	21.49187	19.56423	4.600263
2310	-1039.496	-1068.495	28.99885	20.74726	4.239211
2320	-1032.988	-1065.306	32.31802	21.6279	4.091428
2330	-1022.178	-1068.74	46.56226	30.16762	3.474486
2340	-1038.36	-1066.833	28.47357	22.30424	4.267577
