Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
101	1	-1033.941	-1063.172	29.23112	25.02408	4.197738
102	0	-1056.64	-1075.876	19.23599	23.8042	4.639347
103	1	-1021.104	-1067.444	46.34011	23.9925	3.50353
104	0	-1038.423	-1066.219	27.79579	21.15147	4.299743
105	1	-1030.212	-1066.022	35.81001	24.01963	3.942306
106	0	-1037.04	-1072.993	35.95326	24.53332	3.933399
107	1	-1036.168	-1068.79	32.62188	22.71034	4.082095
108	0	-1025.674	-1061.194	35.51971	18.78669	3.842854
109	1	-1038.348	-1069.834	31.48555	25.14802	4.105475
110	0	-1029.183	-1065.711	36.52708	18.96007	3.799752
111	1	-1044.262	-1077.87	33.60791	25.71503	4.012111
112	0	-1019.431	-1060.788	41.3569	26.15142	3.707929
113	1	-1036.66	-1070.699	34.03896	24.76869	4.008801
114	0	-1019.703	-1057.852	38.14892	22.43175	3.835509
115	1	-1025.67	-1071.69	46.02041	24.38369	3.521563
116	0	-1026.724	-1066.732	40.00773	24.37698	3.768146
117	1	-1044.97	-1068.203	23.23321	20.18123	4.51646
118	0	-1035.885	-1067.534	31.64923	18.85335	4.052078
119	1	-1050.785	-1082.042	31.25704	19.59969	4.10231
120	0	-1033.191	-1067.048	33.85756	25.30081	4.008945
121	1	-1034.267	-1068.86	34.59291	23.93938	3.993473
122	0	-1055.898	-1075.566	19.66802	20.82423	4.688128
123	1	-1015.214	-1057.993	42.77937	26.35404	3.652315
124	0	-1042.819	-1069.831	27.01173	20.22306	4.329794
125	1	-1028.976	-1059.703	30.72623	19.90422	4.138291
126	0	-1064.952	-1076.518	11.56524	19.93775	5.100225
127	1	-1029.042	-1064.854	35.81121	25.25078	3.93231
128	0	-1035.125	-1061.827	26.70212	20.35816	4.346666
129	1	-1051.741	-1069.463	17.72179	20.9314	4.779869
130	0	-1015.466	-1065.758	50.29178	26.73809	3.368505
131	1	-1038.051	-1072.269	34.21853	25.89266	3.985421
132	0	-1017.546	-1068.82	51.27479	24.18705	3.302107
133	1	-1037.035	-1070.977	33.94185	20.10155	3.983339
134	0	-1019.578	-1061.847	42.2691	24.20466	3.67454
135	1	-1038.511	-1062.544	24.03308	23.72996	4.439565
136	0	-1036.732	-1064.166	27.43337	24.63486	4.278472
137	1	-1028.207	-1065.327	37.11917	29.40503	3.806459
138	0	-1058.947	-1081.697	22.74992	21.04053	4.539041
139	1	-1040.027	-1065.939	25.91172	22.1383	4.384065
140	0	-1035.349	-1066.444	31.09488	27.11776	4.076886
141	1	-1034.803	-1063.014	28.21098	26.983	4.187216
142	0	-1037.28	-1068.027	30.74753	18.41389	4.078282
143	1	-1039.322	-1073.204	33.88199	21.58977	4.01864
144	0	-1034.593	-1067.4	32.80672	26.59588	4.025571
145	1	-1042.867	-1064.042	21.17497	19.12136	4.611863
146	0	-1041.354	-1076.734	35.38014	25.76992	3.942394
147	1	-1032.303	-1068.219	35.91578	22.30749	3.933941
148	0	-1023.678	-1072.604	48.92555	31.49227	3.377245
149	1	-1035.555	-1070.192	34.63647	19.07973	3.905742
150	0	-1040.022	-1074.75	34.72807	29.12231	3.89528
151	1	-1027.101	-1076.399	49.2979	26.3793	3.405041
152	0	-1030.765	-1070.133	39.3677	27.5115	3.765797
153	1	-1042.848	-1077.148	34.29919	23.54323	4.00776
154	0	-1027.363	-1061.641	34.27789	22.59424	4.008802
155	1	-1035.769	-1066.601	30.83259	26.35813	4.105537
156	0	-1044.014	-1073.529	29.51504	21.76797	4.221347
157	1	-1027.182	-1059.009	31.82653	23.34851	4.114251
158	0	-1035.964	-1073.779	37.8151	28.27532	3.807524
159	1	-1030.717	-1065.214	34.49782	22.84585	3.999842
160	0	-1025.08	-1061.417	36.33723	18.70597	3.794268
161	1	-1041.37	-1072.44	31.0694	19.22621	4.098578
162	0	-1051.618	-1077	25.38231	18.49892	4.372804
163	1	-1033.476	-1070.811	37.33559	21.49083	3.856628
164	0	-1037.531	-1063.346	25.81485	22.2534	4.387312
165	1	-1044.996	-1076.718	31.72275	22.9294	4.121008
166	0	-1035.663	-1066.887	31.22367	19.7489	4.108744
167	1	-1022.216	-1066.367	44.15081	24.24042	3.597105
168	0	-1043.232	-1075.595	32.3633	22.21761	4.092933
169	1	-1029.633	-1058.252	28.61942	21.21094	4.261136
170	0	-1042.565	-1064.787	22.22154	24.59794	4.49116
171	1	-1035.09	-1064.492	29.4028	20.5831	4.217555
172	0	-1042.387	-1076.705	34.31768	24.3128	4.002138
173	1	-1044.943	-1074.299	29.35569	27.51535	4.129606
174	0	-1026.618	-1063.944	37.32634	24.16	3.878872
175	1	-1036.337	-1068.793	32.45546	19.37869	4.032772
176	0	-1022.084	-1066.557	44.47333	25.91002	3.589341
177	1	-1030.707	-1057.978	27.2707	23.28853	4.310274
178	0	-1021.529	-1062.211	40.68171	29.58545	3.681667
179	1	-1054.957	-1079.129	24.17231	19.33013	4.459324
180	0	-1058.162	-1074.502	16.33989	18.25121	4.858662
181	1	-1048.147	-1081.956	33.80951	26.24564	3.994759
182	0	-1058.131	-1077.069	18.93829	25.39834	4.594887
183	1	-1050.106	-1086.172	36.06529	25.79418	3.915475
184	0	-1047.159	-1078.616	31.45722	25.17657	4.106089
185	1	-1027.504	-1062.209	34.70547	22.41645	3.988924
186	0	-1044.258	-1073.069	28.81172	16.54066	4.050684
187	1	-1040.82	-1068.843	28.02309	22.45726	4.286728
188	0	-1031.519	-1066.179	34.66005	24.00316	3.990285
189	1	-1051.132	-1077.018	25.88608	23.48993	4.366107
190	0	-1050.151	-1075.744	25.59302	21.74315	4.401684
191	1	-1049.155	-1070.147	20.99161	26.95482	4.455875
192	0	-1026.71	-1067.293	40.58298	24.11616	3.743942
193	1	-1030.894	-1060.619	29.7256	20.50354	4.200631
194	0	-1037.714	-1067.131	29.41689	23.71505	4.21289
195	1	-1043.214	-1067.492	24.2774	19.79341	4.461026
196	0	-1037.379	-1071.742	34.36327	21.15751	3.989358
197	1	-1036.601	-1067.737	31.13645	23.00943	4.146148
198	0	-1032.744	-1070.338	37.59381	27.07541	3.837946
199	1	-1031.571	-1064.073	32.50214	22.61611	4.087398
200	0	-1029.626	-1061.776	32.14992	21.73499	4.100062
201	1	-1023.44	-1067.692	44.25191	28.50849	3.576904
202	0	-1044.293	-1079.769	35.4761	22.50775	3.95521
203	1	-1057.725	-1083.552	25.82663	19.0454	4.366541
204	0	-1040.207	-1072.997	32.79	23.4229	4.072589
205	1	-1036.869	-1074.874	38.00491	29.38558	3.776785
206	0	-1043.768	-1070.595	26.82755	21.47359	4.345607
207	1	-1028.111	-1060.696	32.58555	20.6256	4.063842
208	0	-1031.77	-1064.47	32.69961	21.47359	4.072152
209	1	-1032.939	-1073.523	40.58374	22.17985	3.722176
210	0	-1029.605	-1064.522	34.91667	20.22388	3.938934
211	1	-1014.923	-1058.988	44.06528	25.66121	3.605509
212	0	-1026.897	-1064.364	37.46699	23.35784	3.872706
213	1	-1027.422	-1062.752	35.33085	19.02113	3.866198
214	0	-1027.187	-1057.893	30.70533	23.59881	4.159832
215	1	-1038.763	-1075.588	36.82462	26.97922	3.868057
216	0	-1046.518	-1076.945	30.42701	22.98729	4.177134
217	1	-1045.756	-1074.766	29.00924	26.02284	4.183359
218	0	-1048.702	-1078.616	29.91377	23.74502	4.191554
219	1	-1047.285	-1073.813	26.52775	18.48926	4.310501
220	0	-1021.513	-1058.797	37.28356	21.26986	3.854085
221	1	-1046.935	-1065.808	18.87364	19.6457	4.734147
222	0	-1044.643	-1076.566	31.92359	21.94007	4.111703
223	1	-1039.419	-1067.726	28.30681	22.97331	4.269519
224	0	-1042.676	-1075.942	33.26584	25.83837	4.023207
225	1	-1031.153	-1058.987	27.83448	22.84642	4.291501
226	0	-1065.245	-1090.449	25.20372	25.25543	4.352265
227	1	-1035.194	-1070.951	35.7576	22.85377	3.944734
228	0	-1035.295	-1079.166	43.87045	25.11074	3.612925
229	1	-1042.183	-1066.298	24.11579	21.00935	4.474214
230	0	-1031.771	-1067.045	35.27405	28.57212	3.890279
231	1	-1057.812	-1079.207	21.39514	22.36867	4.583662
232	0	-1030.276	-1060.185	29.9091	20.86993	4.196903
233	1	-1030.785	-1055.899	25.11418	22.34647	4.417678
234	0	-1028.258	-1065.988	37.72936	23.10212	3.860209
235	1	-1035.373	-1064.796	29.42331	23.2525	4.218229
236	0	-1022.082	-1066.078	43.99544	25.40771	3.608325
237	1	-1024.832	-1061.609	36.77717	22.45737	3.896918
238	0	-1031.662	-1074.654	42.99196	28.45699	3.621851
239	1	-1037.48	-1074.357	36.87721	28.0048	3.846428
240	0	-1044.977	-1078.44	33.46302	21.6007	4.038173
241	1	-1036.468	-1078.01	41.54202	23.05092	3.69449
242	0	-1038.351	-1073.694	35.34367	20.39214	3.923254
243	1	-1033.656	-1068.729	35.073	20.79742	3.947704
244	0	-1038.5	-1061.436	22.93599	21.95184	4.521185
245	1	-1050.886	-1081.277	30.39064	21.43997	4.179457
246	0	-1029.263	-1070.127	40.86446	24.83854	3.733167
247	1	-1056.148	-1077.535	21.3869	23.6496	4.553308
248	0	-1044.694	-1078.319	33.62472	23.30947	4.037368
249	1	-1019.929	-1057.09	37.16111	24.65702	3.883462
250	0	-1027.366	-1058.696	31.3302	20.16658	4.114888
251	1	-1031.834	-1069.428	37.59452	19.46833	3.772306
252	0	-1018.083	-1061.386	43.30257	21.37123	3.574794
253	1	-1043.647	-1076.519	32.87116	19.58162	4.01928
254	0	-1046.927	-1077.073	30.14651	21.46963	4.191023
255	1	-1032.574	-1064.512	31.93828	24.27662	4.100463
256	0	-1050	-1075.784	25.78324	19.09233	4.370092
257	1	-1041.285	-1069.532	28.24686	22.19555	4.27832
258	0	-1030.798	-1060.107	29.30945	22.78088	4.227445
259	1	-1034.707	-1067.496	32.78948	23.31944	4.073153
260	0	-1036.706	-1062.21	25.5037	19.74816	4.398367
261	1	-1027.8	-1073.64	45.84055	26.15417	3.536476
262	0	-1032.508	-1065.847	33.33892	22.6869	4.050498
263	1	-1039.24	-1074.476	35.23595	25.31943	3.954228
264	0	-1018.454	-1062.208	43.75434	24.26835	3.613675
265	1	-1038.875	-1076.15	37.27571	24.16536	3.880953
266	0	-1038.707	-1073.25	34.5439	22.3949	3.996003
267	1	-1030.835	-1064.531	33.69609	23.43241	4.033867
268	0	-1057.204	-1083.021	25.8162	20.67687	4.392304
269	1	-1050.041	-1075.568	25.52731	22.11219	4.401686
270	0	-1036.43	-1069.61	33.18061	19.57814	4.003344
271	1	-1040.673	-1071.314	30.64145	26.0316	4.120437
272	0	-1035.254	-1066.222	30.96722	20.13882	4.132225
273	1	-1046.017	-1074.779	28.76266	21.37478	4.255158
274	0	-1063.063	-1076.823	13.76013	17.25742	4.984756
275	1	-1034.146	-1059.354	25.20736	20.69143	4.421797
276	0	-1042.735	-1071.866	29.13122	28.14809	4.118604
277	1	-1031.866	-1067.44	35.57398	20.15909	3.90419
278	0	-1057.221	-1077.518	20.29678	15.95025	4.520828
279	1	-1021.467	-1059.898	38.43109	21.76805	3.811754
280	0	-1034.808	-1080.396	45.5885	26.5559	3.545122
281	1	-1019.557	-1062.256	42.69928	25.09603	3.659563
282	0	-1026.081	-1072.67	46.58861	24.36442	3.498038
283	1	-1033.19	-1069.05	35.85917	21.88727	3.931615
284	0	-1008.676	-1054.595	45.91887	30.02196	3.498106
285	1	-1020.672	-1061.579	40.9074	25.34239	3.73014
286	0	-1027.342	-1061.712	34.3698	25.26244	3.989233
287	1	-1022.784	-1066.81	44.02591	25.37588	3.607109
288	0	-1025.796	-1063.915	38.11842	22.67555	3.839707
289	1	-1037.188	-1065.37	28.18201	22.61438	4.278433
290	0	-1032.687	-1068.206	35.51881	25.60341	3.939359
291	1	-1033.005	-1065.4	32.39574	20.95459	4.079211
292	0	-1029.332	-1067.495	38.16296	21.15841	3.809792
293	1	-1025.204	-1059.573	34.36877	23.8136	4.003577
294	0	-1042.027	-1077.103	35.07601	21.31215	3.958662
295	1	-1047.205	-1070.214	23.00878	22.66505	4.506246
296	0	-1042.124	-1078.703	36.57969	20.04338	3.849849
297	1	-1038.638	-1064.548	25.90973	23.46496	4.365561
298	0	-1055.806	-1082.37	26.5639	21.53694	4.357746
299	1	-1029.862	-1073.825	43.96358	28.21299	3.590859
300	0	-1027.04	-1065.113	38.07305	20.86724	3.805638
301	1	-1023.553	-1063.934	40.38125	23.62948	3.75002
302	0	-1046.629	-1086.162	39.53297	21.40687	3.752153
303	1	-1037.621	-1071.21	33.58894	24.96946	4.024344
304	0	-1045.787	-1081.019	35.23255	22.77052	3.9674
305	1	-1037.021	-1065.416	28.39507	25.15413	4.228228
306	0	-1053.876	-1080.962	27.0852	27.75513	4.20433
307	1	-1051.504	-1079.275	27.77065	19.23843	4.270518
308	0	-1042.977	-1063.847	20.87029	17.33616	4.576543
309	1	-1053.63	-1069.565	15.93422	19.72882	4.883109
310	0	-1043.434	-1068.365	24.93156	19.00993	4.412634
311	1	-1029.483	-1063.157	33.67398	22.73187	4.0358
312	0	-1049.194	-1070.136	20.942	18.85509	4.620029
313	1	-1046.991	-1072.201	25.20987	18.64216	4.387053
314	0	-1022.637	-1057.447	34.81031	24.92955	3.97589
315	1	-1035.849	-1074.146	38.29638	23.49664	3.837808
316	0	-1045.409	-1078.639	33.22985	26.13085	4.019098
317	1	-1041.356	-1072.331	30.97544	20.31667	4.135875
318	0	-1028.955	-1067.382	38.42719	21.26944	3.800306
319	1	-1048.596	-1082.357	33.76107	24.20831	4.026011
320	0	-1036.504	-1065.497	28.9931	21.63583	4.245176
321	1	-1036.994	-1072.174	35.18043	20.00748	3.918361
322	0	-1057	-1082.265	25.26522	18.07168	4.361972
323	1	-1020.65	-1062.563	41.91285	23.91652	3.687544
324	0	-1045.838	-1076.697	30.85986	23.82828	4.150754
325	1	-1014.414	-1059.445	45.03119	24.57922	3.563724
326	0	-1025.299	-1067.395	42.09596	28.82482	3.647384
327	1	-1027.23	-1068.558	41.32784	22.61856	3.697201
328	0	-1032.051	-1064.206	32.15498	21.28222	4.095358
329	1	-1027.923	-1068.627	40.7046	21.66768	3.704721
330	0	-1049.632	-1063.931	14.29892	19.37534	4.969733
