"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-15.3040043927023,-13.1159896042813,-17.8878410971783,0,1,0,0
"Retention Index",-10.7066515016161,-7.98818690731993,-13.6012813319795,0,1,0,0
